keyword,cluster,market,language,volume,kd,cpc,intent,trend,data_status,source,verified_at,notes
claude code mcp server configuration,claude-code-mcp-config,United States,English,880,21,0.00,Informational,available in raw export,verified,Semrush Keyword Magic mcp-server broad US,2026-07-29,Exact metric row
claude code add mcp server,claude-code-mcp-config,United States,English,320,22,12.27,Informational,available in raw export,verified,Semrush Keyword Magic mcp-server broad US,2026-07-29,Natural task variant
how to add mcp server to claude code,claude-code-mcp-config,United States,English,170,24,13.03,Informational,available in raw export,verified,Semrush Keyword Magic mcp-server broad US,2026-07-29,Natural task variant
mcp proxy server vs mcp gateway,mcp-proxy-vs-gateway,United States,English,720,19,0.00,Informational,available in raw export,verified,Semrush mcp broad US,2026-07-23,Exact metric row
mcp gateway vs proxy,mcp-proxy-vs-gateway,United States,English,,,,Commercial investigation,unavailable in search capture,pending,Live web SERP capture,2026-08-12,Natural reverse-order variant; metrics pending
mcp resources vs tools,mcp-resources-vs-tools,United States,English,590,24,7.06,Commercial,available in raw export,verified,Semrush Keyword Magic mcp-tools broad US,2026-07-29,Exact metric row
mcp server resources vs tools,mcp-resources-vs-tools,United States,English,40,,0.00,Commercial investigation,available in raw export,unavailable,Semrush Keyword Magic mcp-tools broad US,2026-07-29,KD unavailable; not treated as zero
resources vs tools mcp,mcp-resources-vs-tools,United States,English,40,,0.00,Commercial investigation,available in raw export,unavailable,Semrush Keyword Magic mcp-tools broad US,2026-07-29,KD unavailable; not treated as zero
remote mcp servers,remote-mcp-server-discovery,United States,English,480,24,4.08,Informational,available in raw export,verified,Semrush Keyword Magic mcp-server broad US,2026-07-29,Exact metric row
remote mcp,remote-mcp-server-discovery,United States,English,390,29,4.81,Informational,available in raw export,verified,Semrush Keyword Magic mcp-server broad US,2026-07-29,Natural head variant
hosted mcp servers,remote-mcp-server-discovery,United States,English,320,52,3.18,Informational / Transactional,available in raw export,verified,Semrush Keyword Magic mcp-server broad US,2026-07-29,Higher difficulty supporting variant
best mcp servers for claude code,best-mcp-servers-claude-code,United States,English,320,10,5.50,Commercial,available in raw export,verified,Semrush Keyword Magic best-mcp-servers broad US,2026-07-29,Exact metric row
best mcp servers for claude,best-mcp-servers-claude-code,United States,English,30,14,3.55,Commercial,available in raw export,verified,Semrush Keyword Magic best-mcp-servers broad US,2026-07-29,Broader supporting variant
what are the best mcp servers for claude code,best-mcp-servers-claude-code,United States,English,10,,8.13,Commercial,available in raw export,unavailable,Semrush Keyword Magic best-mcp-servers questions US,2026-07-29,KD unavailable; not treated as zero
best mcp servers for cursor,best-mcp-servers-cursor,United States,English,260,19,0.00,Commercial,available in raw export,verified,Semrush Keyword Magic best-mcp-servers broad US,2026-07-29,Exact metric row
best cursor mcp,best-mcp-servers-cursor,United States,English,170,19,0.00,Commercial,available in raw export,verified,Semrush Keyword Magic best-mcp-servers broad US,2026-07-29,Natural compact variant
cursor mcp servers,best-mcp-servers-cursor,United States,English,,,,Commercial investigation,unavailable in search capture,pending,Live web SERP capture,2026-08-12,Community phrasing; metrics pending
cursor mcp spawn npx enoent,cursor-mcp-spawn-npx-enoent,United States,English,1600,24,0.00,Informational,available in raw export,verified,Semrush mcp broad US,2026-07-23,Exact error string
mcp server spawn enoent,cursor-mcp-spawn-npx-enoent,United States,English,,,,Informational troubleshooting,unavailable in search capture,pending,Live web SERP capture,2026-08-12,Error-family variant; metrics pending
cursor mcp npx not found,cursor-mcp-spawn-npx-enoent,United States,English,,,,Informational troubleshooting,unavailable in search capture,pending,Live web SERP capture,2026-08-12,Natural-language variant; metrics pending
mcp error -32001: request timed out,mcp-error-32001-timeout,United States,English,260,0,0.00,Informational,available in raw export,verified,Semrush mcp broad US,2026-07-23,KD zero is a measured value in the export
error executing mcp tool: mcp error -32001: request timed out,mcp-error-32001-timeout,United States,English,,,,Informational troubleshooting,available in raw export,unavailable,Semrush Keyword Magic mcp-tools broad US,2026-07-29,Source reported volume 0 and missing KD; numeric fields omitted to avoid encoding missing difficulty as zero
mcp request timed out,mcp-error-32001-timeout,United States,English,,,,Informational troubleshooting,unavailable in search capture,pending,Live web SERP capture,2026-08-12,Natural error-family variant; metrics pending
