Groups,Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features,Number of Results
"best,mcp",best mcp,Commercial,170,"0.23,0.35,0.35,0.35,0.15,0.15,0.18,0.23,0.18,1.00,0.23,0.23",41,1.98,0.06,"Sitelinks, AI Overview, Video, Video carousel, Discussions and forums, Related searches",180
"best,development,mcp,servers",best mcp servers for developers,Commercial,50,"0.41,0.41,0.11,0.11,0.23,0.41,0.11,0.11,0.29,0.52,1.00,0.23",23,3.80,0.34,"Sitelinks, AI Overview, Video, Video carousel, Related searches",162
"mcp,popular,servers",most popular mcp servers,Informational,170,"1.00,1.00,1.00,0.80,0.80,1.00,0.42,0.52,0.66,0.66,1.00,0.66",25,2.79,0.14,"Sitelinks, AI Overview, Video, Discussions and forums, Related searches, Ads middle",127
"best,mcp,server",best mcp server,Commercial,110,"0.05,0.19,0.02,0.02,0.54,0.66,0.00,0.12,0.15,1.00,0.19,0.15",46,1.82,0.19,"Sitelinks, AI Overview, Video, Video carousel, Related searches",116
"best,mcp,tool",best mcp tools,"Informational, Commercial",30,"1.00,1.00,0.28,0.42,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28",40,4.70,0.34,"Sitelinks, AI Overview, Video, Video carousel, Discussions and forums, Related searches, Ads middle",181
"best,mcp",mcp best,Commercial,70,"1.00,1.00,0.81,0.81,0.81,1.00,0.00,0.00,0.00,1.00,0.00,0.00",18,3.80,0.04,"Sitelinks, AI Overview, Video, Video carousel, Related searches",200
"mcp,servers,use",most useful mcp servers,Informational,50,"0.52,0.52,0.52,0.09,0.09,0.09,0.23,0.14,0.09,0.42,0.33,1.00",28,3.35,0.18,"Sitelinks, AI Overview, Video, Discussions and forums, Related searches",124
"mcp,popular,servers",popular mcp servers,Informational,260,"0.43,0.82,0.66,0.66,0.53,0.35,0.66,0.43,0.82,1.00,0.82,0.66",24,2.84,0.21,"Sitelinks, AI Overview, Video, Discussions and forums, Related searches",114
"mcp,servers,top",top mcp servers,Informational,320,"0.66,0.82,0.82,0.66,0.53,0.53,0.82,0.66,1.00,0.82,1.00,0.82",26,2.88,0.23,"Sitelinks, AI Overview, Video, Discussions and forums, Related searches",120
"best,coding,mcp,servers",best mcp servers for coding,Commercial,50,"0.18,0.81,1.00,0.27,1.00,1.00,0.18,0.18,0.18,0.18,0.18,0.18",17,3.40,0.32,"Sitelinks, AI Overview, Video, Video carousel, Discussions and forums, Related searches",176
"best,mcps",best mcps,Commercial,140,"0.53,0.34,1.00,0.53,0.53,0.53,0.28,0.28,0.34,0.43,0.53,0.43",41,0.00,0.33,"Sitelinks, Video, Related searches",137
"mcp,servers,use",useful mcp servers,Informational,70,"0.33,0.52,0.80,0.52,0.80,1.00,0.09,0.09,0.80,0.52,0.52,0.80",31,2.48,0.22,"Sitelinks, Video, Video carousel, Discussions and forums, Related searches, Ads bottom",48300000
"awesome,mcp,servers",awesome mcp servers,Commercial,1600,"0.45,0.55,0.65,0.83,1.00,0.55,0.30,0.20,0.34,0.25,0.20,0.13",25,3.79,0.08,"Sitelinks, Video, Discussions and forums, Related searches, Ads top",116
