Groups,Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features,Number of Results
"mcp,server,what",whats an mcp server,Informational,320,"0.08,0.06,0.20,0.20,0.16,0.30,0.30,0.16,0.13,1.00,0.55,0.45",51,0.80,0.18,"Sitelinks, AI Overview, Video, People also ask, Related searches",193
"mcp,seven",mcp sever,Informational,140,"0.05,0.35,0.00,1.00,0.23,0.66,0.12,0.17,0.28,0.02,1.00,1.00",58,2.87,0.20,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches, Things to know",125
"ai,mcp,server",mcp ai server,Informational,30,"0.18,0.18,1.00,1.00,0.36,0.18,0.18,0.18,0.00,0.00,0.00,0.18",72,3.22,0.35,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches",104
"ai,mcp,servers",mcp servers in ai,Informational,30,"0.18,0.36,0.36,1.00,0.18,0.18,0.18,0.18,0.00,0.18,0.18,0.18",42,2.92,0.54,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches",129
"mcp,server",server mcp,Informational,50,"0.00,0.00,0.00,0.00,0.19,0.19,0.80,1.00,0.00,0.07,0.00,0.00",53,1.60,0.11,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches, Ads bottom",128
"mcp,server",what is an mcp server,Informational,5400,"0.29,0.36,0.44,0.44,0.44,0.54,0.44,0.36,0.54,0.66,1.00,1.00",46,0.80,0.18,"Sitelinks, AI Overview, Reviews, Video, Video carousel, People also ask, Related searches",181
"mcp,server",what is mcp server,Informational,4400,"0.35,0.54,0.54,0.66,0.54,0.54,0.44,0.44,0.54,0.66,1.00,1.00",51,1.00,0.19,"Sitelinks, AI Overview, Reviews, Video, People also ask, Related searches",125
"mcp,server",what mcp server,Informational,90,"0.05,0.43,0.12,0.28,0.05,0.10,0.05,0.05,0.23,0.17,1.00,0.35",47,0.84,0.22,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches",129
"define,mcp,server",define mcp server,Informational,140,"1.00,0.17,0.17,0.28,0.28,0.43,0.12,0.17,0.43,0.28,0.35,0.35",48,0.45,0.20,"Sitelinks, AI Overview, Video, Short videos, People also ask, Related searches",127
"mcp,servers,work",how mcp servers work,Informational,50,"0.11,0.11,0.64,0.64,0.41,0.52,0.64,0.23,0.11,1.00,0.29,0.64",42,0.65,0.32,"Sitelinks, AI Overview, Video, Video carousel, Short videos, Related searches",43700000
"ai,mcp,server",mcp server in ai,Informational,30,"0.14,0.14,0.14,0.14,1.00,0.00,0.00,0.00,0.14,0.14,0.07,0.14",33,2.92,0.54,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches",127
"mcp,server",mcp server what is it,Informational,140,"0.42,0.65,0.42,1.00,1.00,0.07,0.42,0.80,0.65,0.42,0.65,0.53",53,0.66,0.19,"Sitelinks, AI Overview, Reviews, Video, Video carousel, People also ask, Related searches",183
"mcp,servers",mcp servers what is it,Informational,40,"0.18,0.27,1.00,1.00,0.36,1.00,0.00,0.27,0.18,0.18,0.18,0.18",56,0.37,0.11,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches",198
"ai,mcp,server",what is a mcp server in ai,Informational,110,"0.00,0.00,0.14,0.14,0.04,0.35,0.35,0.29,0.43,0.22,1.00,1.00",49,1.57,0.37,"Sitelinks, AI Overview, Reviews, Video, Video carousel, Short videos, People also ask, Related searches, Ads bottom",197
"ai,mcp,server",what is an mcp server in ai,Informational,390,"0.16,0.08,0.30,0.20,0.30,0.30,0.16,0.24,0.45,0.67,1.00,0.76",58,1.57,0.36,"Sitelinks, AI Overview, Reviews, Video, Video carousel, People also ask, Related searches",198
"mcp,servers",what is an mcp servers,Informational,110,"0.02,0.03,0.03,0.03,0.03,0.00,0.00,0.00,0.00,1.00,0.00,0.00",55,0.80,0.18,"AI Overview, Reviews, Video, Video carousel, People also ask, Related searches",187
"mpc,server",what is an mpc server,Informational,170,"0.34,0.43,1.00,0.53,0.53,0.65,0.53,0.34,0.34,0.53,0.81,0.81",69,0.35,0.08,"Sitelinks, AI Overview, Video, Video carousel, Short videos, People also ask, Related searches",200
"mcp,server",what's mcp server,Informational,40,"0.11,0.17,0.52,0.64,0.17,0.64,0.00,0.00,0.41,0.64,0.11,1.00",34,0.46,0.15,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches",130
"mcp,server,what",whats mcp server,Informational,70,"0.03,0.05,0.15,0.03,0.00,0.03,0.00,1.00,0.11,0.00,0.03,0.03",42,0.00,0.43,"Sitelinks, AI Overview, Video, People also ask, Related searches",130
"mcp,meaning,server",mcp server meaning,Informational,2900,"0.01,0.19,0.36,0.43,0.66,0.66,0.43,0.36,0.54,0.66,1.00,1.00",50,0.45,0.12,"Sitelinks, AI Overview, Video, People also ask, Related searches",129
"mcp,servers",mcp servers,Informational,14800,"0.66,0.81,0.54,0.66,0.44,1.00,0.44,0.29,0.66,0.54,0.54,0.44",81,3.49,0.22,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches",124
"ai,mcp,servers",mcp servers ai,Informational,140,"0.28,0.00,0.28,0.17,0.17,0.53,0.17,0.53,0.12,1.00,0.28,0.23",50,3.78,0.40,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches, Ads bottom",122
"mcp,meaning,servers",mcp servers meaning,Informational,40,"0.00,0.05,0.05,0.35,0.66,0.05,0.05,0.07,0.05,0.17,1.00,0.28",47,0.33,0.10,"Sitelinks, AI Overview, Video, People also ask, Related searches",128
"context,model,protocol,server",model context protocol server,Informational,260,"0.54,1.00,1.00,0.23,0.66,0.11,0.28,0.35,0.05,0.81,0.81,0.81",79,2.92,0.19,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Discussions and forums, Related searches, Ads middle",45200000
"context,model,protocol,servers",model context protocol servers,Informational,590,"0.72,1.00,1.00,0.59,0.59,0.48,0.39,0.17,0.32,0.48,0.39,0.72",72,2.92,0.19,"Sitelinks, AI Overview, Video, People also ask, Related searches",132
mcp,what is a mcp,Informational,480,"0.16,0.25,0.31,0.31,0.46,0.37,0.31,0.25,0.31,0.68,0.52,1.00",49,0.51,0.03,"Sitelinks, AI Overview, Video, People also ask, Related searches",65300000
"ai,mcp,server",what is mcp server in ai,Informational,390,"0.21,0.26,0.48,0.48,0.48,0.48,0.39,0.39,0.32,0.72,0.88,1.00",50,1.61,0.39,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches",196
"mcp,servers",what is mcp servers,Informational,590,"0.20,0.13,0.10,0.16,0.08,0.05,0.05,0.10,0.01,1.00,0.16,0.24",53,1.00,0.19,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches",125
"mcp,server",what's an mcp server,Informational,210,"0.23,0.82,1.00,0.66,0.43,0.82,0.35,0.53,0.35,0.00,0.82,0.82",41,0.51,0.12,"Sitelinks, AI Overview, Video, Video carousel, Short videos, People also ask, Related searches",126
"ai,mcp,server",ai mcp server,Informational,390,"1.00,1.00,1.00,0.81,0.81,1.00,0.66,0.43,0.81,1.00,0.66,0.81",63,3.93,0.42,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Discussions and forums, Related searches",120
"introduction,mcp",mcp introduction,Informational,70,"0.34,1.00,0.06,0.06,0.15,0.06,0.06,0.06,0.06,0.06,0.06,0.06",63,1.64,0.28,"Video, Video carousel, Short videos, Related searches",123
"explained,mcp,server",mcp server explained,Informational,170,"0.42,0.65,0.80,0.53,0.53,0.53,0.65,0.26,0.53,0.65,1.00,1.00",52,1.53,0.35,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Ads bottom",120
"mcp,service",mcp service,Informational,140,"1.00,0.15,0.43,0.43,0.28,0.81,0.21,0.34,0.21,0.43,0.53,0.43",81,1.78,0.02,"AI Overview, Video, Video carousel, People also ask, Related searches, Ads bottom",124
"context,logo,model,protocol",model context protocol logo,Informational,90,"1.00,1.00,1.00,1.00,0.64,1.00,0.64,0.45,0.64,0.64,0.82,0.64",49,0.00,0.01,"Reviews, Image pack, Video, Related searches",134
"ai,mcp,servers",ai mcp servers,Informational,110,"0.35,0.53,0.12,0.66,0.07,0.35,0.17,0.28,0.23,1.00,0.43,0.35",56,2.73,0.35,"Sitelinks, AI Overview, Image, Video, Video carousel, People also ask, Discussions and forums, Related searches, Ads bottom, Ads middle",47500000
"coding,mcp",coding mcp,Informational,30,"0.07,0.14,1.00,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14",61,1.75,0.18,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches, Ads bottom",103
"context,model,protocol",context model protocol,Informational,50,"1.00,0.11,0.65,0.11,0.24,0.11,0.11,0.11,0.11,0.11,0.11,0.11",70,3.96,0.35,"Sitelinks, AI Overview, Video, Short videos, People also ask, Related searches, Things to know, Ads bottom",166
"explained,mcp,servers",explain mcp servers,Informational,50,"0.11,0.41,0.11,0.41,0.29,0.41,0.11,0.23,0.11,1.00,0.64,0.64",50,1.01,0.28,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches",121
"mcp,server,work",how does an mcp server work,Informational,70,"0.41,0.64,0.82,0.82,0.41,1.00,0.29,0.52,1.00,0.64,1.00,1.00",43,0.62,0.41,"Sitelinks, AI Overview, Video, Discussions and forums, Related searches",60000000
"mcp,server,work",how does mcp server work,Informational,50,"0.29,0.64,0.41,0.52,0.29,0.52,0.41,0.17,0.11,0.64,1.00,0.11",35,0.54,0.38,"Sitelinks, AI Overview, Image, Video, Video carousel, Short videos, Related searches, Ads bottom",60000000
"mcp,servers,use",how to use mcp servers,Informational,70,"0.35,0.35,1.00,1.00,0.64,0.78,0.64,0.21,0.35,0.28,0.35,0.21",57,3.44,0.14,"Sitelinks, AI Overview, Reviews, Video, Video carousel, Short videos, People also ask, Related searches",179
"ai,definition,mcp",mcp ai definition,Informational,50,"0.04,1.00,0.52,0.66,0.09,0.09,0.09,0.09,0.09,0.09,0.19,0.09",64,0.00,0.10,"AI Overview, Video, People also ask, Related searches",46900000
"ai,mcp,protocol",mcp ai protocol,Informational,170,"1.00,0.54,0.44,0.23,0.23,0.15,0.11,0.06,0.08,0.06,0.08,0.11",70,2.45,0.36,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches",161
"artificial,intelligence,mcp,protocol",mcp artificial intelligence protocol,Informational,110,"1.00,0.54,0.35,0.18,0.18,0.14,0.14,0.08,0.10,0.08,0.10,0.10",70,2.28,0.35,"AI Overview, Image, Video, Video carousel, Discussions and forums, Related searches",141
"function,mcp",mcp functionality,Informational,40,"0.14,0.14,1.00,0.78,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14",66,0.00,0.11,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches",127
"ai,mcp",mcp in ai,Informational,880,"1.00,1.00,1.00,0.59,1.00,1.00,0.72,0.59,0.59,0.72,1.00,1.00",54,2.53,0.24,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches, Ads bottom",126
"integration,mcp",mcp integration,Informational,260,"0.14,0.26,0.39,0.48,0.21,0.32,0.39,0.32,0.32,0.48,1.00,0.72",62,2.27,0.17,"AI Overview, Video, People also ask, Related searches",124
"mcp,meaning",mcp meaning,Informational,3600,"0.19,0.19,0.29,0.23,0.29,0.29,0.29,0.19,0.29,0.36,0.81,1.00",62,0.61,0.01,"AI Overview, Video, People also ask, Related searches",131
"context,mcp,model,protocol,servers",mcp model context protocol servers,Informational,90,"0.35,1.00,0.66,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05",60,0.00,0.24,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches",126
"mcp,open,source",mcp open source,Informational,70,"0.79,0.79,0.14,0.29,0.14,0.35,0.14,1.00,0.14,0.14,0.29,0.21",83,3.30,0.11,"Sitelinks, Image, Video, Related searches",59100000
"ai,mcp,server",mcp server ai,Informational,390,"0.18,0.81,1.00,0.81,0.66,0.66,0.66,0.35,0.35,0.81,0.81,1.00",71,3.26,0.44,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches",120
"explanation,mcp,server",mcp server explanation,Informational,50,"0.64,1.00,0.78,0.50,0.00,0.00,0.07,0.14,0.14,0.50,0.07,0.00",39,1.53,0.35,"Sitelinks, AI Overview, Video, Video carousel, Related searches",125
"mcp,overview,server",mcp server overview,Informational,70,"1.00,1.00,0.18,0.18,0.18,0.18,0.18,0.18,0.26,0.26,0.18,0.18",53,3.45,0.46,"Sitelinks, AI Overview, Reviews, Video, Video carousel, People also ask, Related searches, Ads bottom",127
"mcp,protocol,server",mcp server protocol,Informational,110,"0.81,1.00,0.53,0.66,0.81,0.43,0.00,0.00,0.32,0.43,0.43,0.19",79,2.59,0.26,"Sitelinks, AI Overview, Video, Short videos, People also ask, Related searches, Ads bottom",158
"mcp,protocol,server",mcp server protocols,Informational,90,"0.66,0.80,1.00,0.52,0.52,0.52,0.33,0.23,0.00,0.33,0.04,0.33",68,3.02,0.30,"Sitelinks, AI Overview, Video, Video carousel, Short videos, People also ask, Discussions and forums, Related searches",131
"definition,mcp,servers",mcp servers definition,Informational,50,"0.11,0.64,0.11,0.11,1.00,0.11,0.82,0.11,0.11,0.29,0.41,0.11",54,0.23,0.23,"Sitelinks, AI Overview, Image, Video, People also ask, Related searches",253000
mcpserver,mcpserver,Informational,390,"1.00,0.67,0.23,0.67,0.81,0.12,0.19,0.29,0.81,0.02,0.15,0.44",66,1.60,0.11,"AI Overview, Image, Video, Video carousel, Short videos, People also ask, Related searches",5950000
"modelcontextprotocol,servers",modelcontextprotocol servers,Navigational,70,"0.34,0.53,0.06,1.00,0.06,0.00,0.12,0.00,0.09,0.34,0.12,0.15",100,2.43,0.14,"Sitelinks, Video, Related searches",132
