tool,keyword,volume,kd,intent,cpc,note
swift,mcp server swift messaging banking operations,880,16,I,0,"库里缺server,先采集"
zerodha,zerodha mcp server,720,28,I,0,"库里缺server,先采集"
shadcnui,shadcn-ui-mcp-server,590,21,IT,0,"库里缺server,先采集"
chart,mcp-server-chart,480,16,I,0,"库里缺server,先采集"
claude,claude mcp server,480,28,I,8.76,"库里缺server,先采集"
dbt,dbt mcp server,480,19,I,9.42,"库里缺server,先采集"
servicenow,servicenow mcp server,480,17,I,9.45,"库里缺server,先采集"
zen,zen-mcp-server,480,11,I,3.64,"库里缺server,先采集"
postgresql,postgresql mcp server,390,27,I,2.86,"库里缺server,先采集"
arxiv,arxiv-mcp-server,320,7,I,0,"库里缺server,先采集"
clickup,clickup mcp server,320,25,IT,5.88,"库里缺server,先采集"
firebase,firebase mcp server,320,25,I,27.55,"库里缺server,先采集"
mobbin,mobbin mcp server,320,22,I,0,"库里缺server,先采集"
shadcn,shadcn mcp server,320,23,T,8.83,"库里缺server,先采集"
n8n,n8n mcp server trigger,260,27,I,0,"库里缺server,先采集"
asana,asana mcp server,260,21,TN,6.09,"库里缺server,先采集"
box,box mcp server,260,29,IN,0.67,"库里缺server,先采集"
mysql,mysql mcp server,260,18,I,2.52,"库里缺server,先采集"
xero,xero mcp server,260,6,IT,7.16,"库里缺server,先采集"
zendesk,zendesk mcp server,260,17,I,33.87,"库里缺server,先采集"
codex,codex mcp server,210,24,I,10.54,"库里缺server,先采集"
django,django mcp server,210,23,I,10.47,"库里缺server,先采集"
llamaindex,llamaindex mcp server,210,26,IT,0,"库里缺server,先采集"
make.com,make.com mcp server,210,26,IN,0,"库里缺server,先采集"
nx,nx mcp server,210,23,IT,0,"库里缺server,先采集"
pagerduty,pagerduty mcp server,210,19,I,10.97,"库里缺server,先采集"
selenium,selenium mcp server,210,24,I,5.71,"库里缺server,先采集"
sharepoint,sharepoint mcp server,210,21,I,5.06,"库里缺server,先采集"
spotify,spotify mcp server,210,24,I,0,"库里缺server,先采集"
unity,unity mcp server,210,17,I,14.52,"库里缺server,先采集"
add,add mcp server to cursor,170,25,I,0,"库里缺server,先采集"
draw.io,draw.io mcp server,170,22,I,0,"库里缺server,先采集"
ibkr,ibkr mcp server,170,15,I,0,"库里缺server,先采集"
