tool,merged_volume,wrong_repo_matched,stars,reason
chatgpt,4160,danny-avila/LibreChat,41277,GitHub搜索误命中：仓库名与工具名无关
astro,2900,Auriti-Labs/geo-optimizer-skill,619,GitHub搜索误命中：仓库名与工具名无关
playright,1670,4darsh-Dev/Lead-generator-mcp-server,2,GitHub搜索误命中：仓库名与工具名无关
confluence,1410,sooperset/mcp-atlassian,5614,GitHub搜索误命中：仓库名与工具名无关
azure,1370,danny-avila/LibreChat,41277,GitHub搜索误命中：仓库名与工具名无关
antigravity,1290,google-labs-code/stitch-skills,7814,GitHub搜索误命中：仓库名与工具名无关
postgresql,1270,t8y2/dbx,11693,GitHub搜索误命中：仓库名与工具名无关
langchain,1230,danny-avila/LibreChat,41277,GitHub搜索误命中：仓库名与工具名无关
ollama,1180,PDFMathTranslate/PDFMathTranslate,35790,GitHub搜索误命中：仓库名与工具名无关
sql,1160,zylon-ai/private-gpt,57371,GitHub搜索误命中：仓库名与工具名无关
dip pip,1060,kthlong/ProprioceptiveAcuity_Data,0,GitHub搜索误命中：仓库名与工具名无关
specification,1030,harsha-iiiv/openapi-mcp-generator,624,GitHub搜索误命中：仓库名与工具名无关
model context protocol,910,microsoft/mcp-for-beginners,16835,GitHub搜索误命中：仓库名与工具名无关
updates,880,6551Team/opennews-mcp,1878,GitHub搜索误命中：仓库名与工具名无关
irish pub,880,the-fluid-company/ireland-public-context,0,GitHub搜索误命中：仓库名与工具名无关
chrome-mcp-server,880,hangwin/mcp-chrome,12200,GitHub搜索误命中：仓库名与工具名无关
notebooklm,780,MODSetter/SurfSense,15463,GitHub搜索误命中：仓库名与工具名无关
toolkit,730,oraios/serena,26897,GitHub搜索误命中：仓库名与工具名无关
outlook,730,ridafkih/keeper.sh,1211,GitHub搜索误命中：仓库名与工具名无关
framer,720,JiaboLi-GitHub/renderdoc-mcp,277,GitHub搜索误命中：仓库名与工具名无关
pip dip,720,kthlong/ProprioceptiveAcuity_Data,0,GitHub搜索误命中：仓库名与工具名无关
sse,720,u14app/deep-research,4681,GitHub搜索误命中：仓库名与工具名无关
definition,700,isaacphi/mcp-language-server,1570,GitHub搜索误命中：仓库名与工具名无关
windows,680,mksglu/context-mode,19325,GitHub搜索误命中：仓库名与工具名无关
streamable http,640,sparfenyuk/mcp-proxy,2685,GitHub搜索误命中：仓库名与工具名无关
rube,620,rohittcodes/gpt-5-vs-opus-4-1,16,GitHub搜索误命中：仓库名与工具名无关
