tool,merged_volume,github_repo,stars,url,gate
chatgpt,4160,danny-avila/LibreChat,41277,https://github.com/danny-avila/LibreChat,PASS
chrome-devtools-mcp,3600,ChromeDevTools/chrome-devtools-mcp,47598,https://github.com/ChromeDevTools/chrome-devtools-mcp,PASS
chrome,3360,ChromeDevTools/chrome-devtools-mcp,47598,https://github.com/ChromeDevTools/chrome-devtools-mcp,PASS
datadog,2950,winor30/mcp-server-datadog,143,https://github.com/winor30/mcp-server-datadog,PASS
apple notes,2900,RafalWilinski/mcp-apple-notes,407,https://github.com/RafalWilinski/mcp-apple-notes,PASS
astro,2900,Auriti-Labs/geo-optimizer-skill,619,https://github.com/Auriti-Labs/geo-optimizer-skill,PASS
chrome devtools,2860,ChromeDevTools/chrome-devtools-mcp,47598,https://github.com/ChromeDevTools/chrome-devtools-mcp,PASS
serena,2720,oraios/serena,26897,https://github.com/oraios/serena,PASS
blender,2510,ahujasid/blender-mcp,24826,https://github.com/ahujasid/blender-mcp,PASS
copilotkit,2400,CopilotKit/open-mcp-client,1646,https://github.com/CopilotKit/open-mcp-client,PASS
robloxstudio-mcp,1900,boshyxd/robloxstudio-mcp,483,https://github.com/boshyxd/robloxstudio-mcp,REVIEW
huggingface,1740,huggingface/mcp-course,908,https://github.com/huggingface/mcp-course,PASS
playright,1670,4darsh-Dev/Lead-generator-mcp-server,2,https://github.com/4darsh-Dev/Lead-generator-mcp-server,REVIEW
playwrite,1600,remorses/playwriter,3718,https://github.com/remorses/playwriter,PASS
chrome-devtools,1600,ChromeDevTools/chrome-devtools-mcp,47598,https://github.com/ChromeDevTools/chrome-devtools-mcp,PASS
puppeteer,1500,merajmehrabi/puppeteer-mcp-server,478,https://github.com/merajmehrabi/puppeteer-mcp-server,PASS
azure devops,1440,microsoft/azure-devops-mcp,1909,https://github.com/microsoft/azure-devops-mcp,PASS
confluence,1410,sooperset/mcp-atlassian,5614,https://github.com/sooperset/mcp-atlassian,PASS
azure,1370,danny-avila/LibreChat,41277,https://github.com/danny-avila/LibreChat,PASS
clickup,1320,taazkareem/clickup-mcp-server,49,https://github.com/taazkareem/clickup-mcp-server,PASS
tron,1300,BofAI/mcp-server-tron,13,https://github.com/BofAI/mcp-server-tron,REVIEW
mcp-ui,1300,MCP-UI-Org/mcp-ui,5036,https://github.com/MCP-UI-Org/mcp-ui,PASS
mcp-feedback-enhanced,1300,Minidoracat/mcp-feedback-enhanced,3788,https://github.com/Minidoracat/mcp-feedback-enhanced,PASS
windows-mcp,1300,CursorTouch/Windows-MCP,6500,https://github.com/CursorTouch/Windows-MCP,PASS
notebookllm,1300,Yasirrazaa/notebookllm,5,https://github.com/Yasirrazaa/notebookllm,REVIEW
antigravity,1290,google-labs-code/stitch-skills,7814,https://github.com/google-labs-code/stitch-skills,PASS
postman,1290,postmanlabs/postman-mcp-server,287,https://github.com/postmanlabs/postman-mcp-server,PASS
splunk,1290,livehybrid/splunk-mcp,107,https://github.com/livehybrid/splunk-mcp,REVIEW
postgresql,1270,t8y2/dbx,11693,https://github.com/t8y2/dbx,PASS
databricks,1250,databrickslabs/ontobricks,199,https://github.com/databrickslabs/ontobricks,PASS
langchain,1230,danny-avila/LibreChat,41277,https://github.com/danny-avila/LibreChat,PASS
zen,1200,ZenNotes/zennotes,2157,https://github.com/ZenNotes/zennotes,PASS
ollama,1180,PDFMathTranslate/PDFMathTranslate,35790,https://github.com/PDFMathTranslate/PDFMathTranslate,PASS
sql,1160,zylon-ai/private-gpt,57371,https://github.com/zylon-ai/private-gpt,PASS
amazon,1150,liangdabiao/amazon-sorftime-research-MCP-skill,576,https://github.com/liangdabiao/amazon-sorftime-research-MCP-skill,PASS
dip pip,1060,kthlong/ProprioceptiveAcuity_Data,0,https://github.com/kthlong/ProprioceptiveAcuity_Data,REVIEW
