github_repo,merged_volume,stars,covers_keywords
ChromeDevTools/chrome-devtools-mcp,12160,47598,chrome-devtools-mcp; chrome; chrome devtools; chrome-devtools; chrome dev
ahujasid/blender-mcp,3390,24826,blender; blender-mcp
winor30/mcp-server-datadog,2950,143,datadog
RafalWilinski/mcp-apple-notes,2900,407,apple notes
oraios/serena,2720,26897,serena
CopilotKit/open-mcp-client,2400,1646,copilotkit
boshyxd/robloxstudio-mcp,1900,483,robloxstudio-mcp
PrefectHQ/fastmcp,1680,26842,fast; fastmcp
tadata-org/fastapi_mcp,1610,11951,fastapi-mcp; fastapi
remorses/playwriter,1600,3718,playwrite
merajmehrabi/puppeteer-mcp-server,1500,478,puppeteer
microsoft/azure-devops-mcp,1440,1909,azure devops
getsentry/XcodeBuildMCP,1340,6144,xcodebuildmcp; xcode
taazkareem/clickup-mcp-server,1320,49,clickup
MCP-UI-Org/mcp-ui,1300,5036,mcp-ui
Minidoracat/mcp-feedback-enhanced,1300,3788,mcp-feedback-enhanced
CursorTouch/Windows-MCP,1300,6500,windows-mcp
postmanlabs/postman-mcp-server,1290,287,postman
livehybrid/splunk-mcp,1290,107,splunk
databrickslabs/ontobricks,1250,199,databricks
excalidraw/excalidraw-mcp,1050,5008,excalidraw
mcp-use/mcp-use,1040,10357,mcp-use
its-dart/dart-mcp-server,880,128,dart
Doist/todoist-mcp,850,529,todoist
reminia/zendesk-mcp-server,850,110,zendesk
Coding-Solo/godot-mcp,800,4899,godot
zerodha/kite-mcp-server,790,288,zerodha
regenrek/deepwiki-mcp,770,1374,deepwiki
railwayapp/railway-mcp-server,760,194,railway
homeassistant-ai/ha-mcp,740,4118,home assistant
vercel/mcp-handler,720,628,hand
proofsh/granola-mcp-server,710,93,granola
mrexodia/ida-pro-mcp,710,10766,ida pro
lgazo/drawio-mcp-server,650,1357,draw.io
