tool,merged_volume,github_repo,stars
chrome-devtools-mcp,3600,ChromeDevTools/chrome-devtools-mcp,47598
chrome,3360,ChromeDevTools/chrome-devtools-mcp,47598
datadog,2950,winor30/mcp-server-datadog,143
apple notes,2900,RafalWilinski/mcp-apple-notes,407
chrome devtools,2860,ChromeDevTools/chrome-devtools-mcp,47598
serena,2720,oraios/serena,26897
blender,2510,ahujasid/blender-mcp,24826
copilotkit,2400,CopilotKit/open-mcp-client,1646
robloxstudio-mcp,1900,boshyxd/robloxstudio-mcp,483
huggingface,1740,huggingface/mcp-course,908
playwrite,1600,remorses/playwriter,3718
chrome-devtools,1600,ChromeDevTools/chrome-devtools-mcp,47598
puppeteer,1500,merajmehrabi/puppeteer-mcp-server,478
azure devops,1440,microsoft/azure-devops-mcp,1909
clickup,1320,taazkareem/clickup-mcp-server,49
mcp-ui,1300,MCP-UI-Org/mcp-ui,5036
mcp-feedback-enhanced,1300,Minidoracat/mcp-feedback-enhanced,3788
windows-mcp,1300,CursorTouch/Windows-MCP,6500
postman,1290,postmanlabs/postman-mcp-server,287
splunk,1290,livehybrid/splunk-mcp,107
databricks,1250,databrickslabs/ontobricks,199
zen,1200,ZenNotes/zennotes,2157
amazon,1150,liangdabiao/amazon-sorftime-research-MCP,576
excalidraw,1050,excalidraw/excalidraw-mcp,5008
fast,1050,PrefectHQ/fastmcp,26842
mcp-use,1040,mcp-use/mcp-use,10357
burp suite,1000,six2dez/burp-ai-agent,1367
mymcp,880,PCSX2/myMCpp,37
fastapi-mcp,880,tadata-org/fastapi_mcp,11951
burp,880,six2dez/burp-ai-agent,1367
blender-mcp,880,ahujasid/blender-mcp,24826
dart,880,its-dart/dart-mcp-server,128
todoist,850,Doist/todoist-mcp,529
stitch,850,google-labs-code/stitch-skills,7814
zendesk,850,reminia/zendesk-mcp-server,110
godot,800,Coding-Solo/godot-mcp,4899
zerodha,790,zerodha/kite-mcp-server,288
deepwiki,770,regenrek/deepwiki-mcp,1374
canva,770,CopilotKit/open-multi-agent-canvas,514
railway,760,railwayapp/railway-mcp-server,194
home assistant,740,homeassistant-ai/ha-mcp,4118
chrome dev,740,ChromeDevTools/chrome-devtools-mcp,47598
fastapi,730,tadata-org/fastapi_mcp,11951
xcodebuildmcp,720,getsentry/XcodeBuildMCP,6144
hand,720,vercel/mcp-handler,628
granola,710,proofsh/granola-mcp-server,93
ida pro,710,mrexodia/ida-pro-mcp,10766
draw.io,650,lgazo/drawio-mcp-server,1357
nextjs,630,agentailor/fullstack-langgraph-nextjs-ag,121
fastmcp,630,PrefectHQ/fastmcp,26842
xcode,620,getsentry/XcodeBuildMCP,6144
