primary_keyword,module,volume,kd,serp,decision,target_url,page_type,priority,wave,data_dependency,status_vs_current
agent skills,skills,4400,52,🟢 目录站#1,DO,/skills,listing hub,P0,W1,需采集 skills 数据,NEW 模块 — 前两轮 seed-only 完全看不见
claude skills,skills,27100,58,🟡,DO,/what-are-agent-skills,pillar,P0,W1,无,NEW 支柱页 — 全站最大单词量
awesome-claude-skills,skills,1300,0,🟢 全是小站,DO,/skills/awesome-claude-skills,curated listing,P0,W1,需采集 skills 数据,NEW — KD0，最易吃的入口
skill-creator,skills,1600,28,—,DO,/skills/skill-creator,detail,P1,W2,需采集,NEW
agent skills marketplace,skills,320,26,—,DO,/skills/marketplace,listing,P1,W2,需采集,NEW，与 skill marketplace(320) 合并
skills.sh,skills,4400,26,🔴 产品官网垄断,DROP-KW / KEEP-PAGE,/skills/skills-sh,detail,P2,W3,需采集,丢主词，页面改打 qualified 变体
mcp clients,clients,1000,46,🟡 三家目录在首页,DO,/clients,listing hub,P0,W1,需采集 client 数据,"NEW 模块 — 竞品共 1,359 页"
cursor mcp servers,clients,720,44,—,DO,/clients/cursor,detail,P1,W2,需采集,NEW
claude code mcp servers,clients,720,26,—,DO,/clients/claude-code,detail,P1,W2,需采集,NEW
vscode mcp,clients,720,63,—,DO,/clients/vscode,detail,P2,W3,需采集,NEW
remote mcp servers,remote,480,24,🟡 分类页#1,DO,/category/remote,facet hub,P0,W1,已有数据可标记,NEW facet — 成本最低的一个
mcp remote / mcp-remote,remote,2290,27,—,DO,/guides/remote-vs-local-mcp,guide,P1,W2,无,合并 mcp-remote(1900)+mcp remote(390)
google drive mcp,servers,14440,64,🔴 厂商垄断,DO,/servers/google-mcp-server,detail landing,P1,W1,已有真 server: google-analytics-mcp (trust 72),NEW 落地页
n8n mcp,servers,11830,47,🟡 竞品详情页在榜,DO,/servers/n8n-mcp-server,detail landing,P0,W1,已有真 server: n8n-mcp (trust 90),NEW 落地页
aws mcp servers,servers,7550,60,🔴 厂商垄断,DO,/servers/aws-mcp-server,detail landing,P1,W1,已有真 server: aws-mcp-server (trust 84),NEW 落地页
atlassian mcp,servers,6840,54,🔴 厂商垄断,DO,/servers/atlassian-mcp-server,detail landing,P1,W1,已有真 server: mcp-atlassian (trust 85),NEW 落地页
mcp microsoft,servers,5940,75,🔴 厂商垄断,DO,/servers/microsoft-mcp-server,detail landing,P1,W1,已有真 server: microsoft-mcp (trust 81),NEW 落地页
supabase mcp,servers,5860,53,🔴 厂商垄断,DO,/servers/supabase-mcp-server,detail landing,P1,W1,已有真 server: supabase-mcp-server-supabase (trust 79),NEW 落地页
slack mcp,servers,5650,56,🔴 厂商垄断,DO,/servers/slack-mcp-server,detail landing,P1,W1,已有真 server: slack-mcp-server (trust 72),NEW 落地页
notion mcp,servers,4400,56,🔴 厂商垄断,DO,/servers/notion-mcp-server,detail landing,P1,W1,已有真 server: notionhq-notion-mcp-server (trust 67),NEW 落地页
