Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
mcp directory,1,1,320,69,0.00,https://mcp.directory/,42,8.4,0.00,0.33,120,"13, 16, 16, 8, 5, 7, 5, 3, 4, 4, 5, 5",2026-07-24,"Sitelinks, Video, Related searches, AI overview",informational,Organic
notebookllm mcp,7,7,1300,54,0.00,https://mcp.directory/servers/notebooklm,39,7.8,0.00,0,99,"100, 0",2026-07-01,"Sitelinks, Reviews, Video, Related searches",informational,Organic
duckduckgo-search mcp,3,3,390,19,0.00,https://mcp.directory/servers/duckduckgo,31,6.2,0.00,0,81,"100, 0, 0, 0, 0, 0, 0",2026-06-16,"Reviews, Related searches",informational,Organic
are mcp servers free,1,1,390,24,0.00,https://mcp.directory/,23,4.59,0.00,0.08,132,"30, 30, 67, 30, 100, 30, 30, 30, 1, 1, 1, 2",2026-07-08,"Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,AI overview
mcp server directory,2,2,170,49,3.41,https://mcp.directory/,22,4.39,75.00,0.24,123,"82, 82, 82, 35, 35, 35, 28, 23, 28, 35, 28, 23",2026-07-04,"Video, Related searches, Ads middle",informational,Organic
mcp server list,8,8,880,70,2.84,https://mcp.directory/,21,4.2,59.00,0.25,89,"100, 81, 100, 81, 62, 36, 36, 30, 24, 45, 24, 24",2026-06-28,"Sitelinks, People also ask, Related searches, AI overview",informational,Organic
mcp directory,1,0,320,69,0.00,https://mcp.directory/,19,3.8,0.00,0.33,120,"13, 16, 16, 8, 5, 7, 5, 3, 4, 4, 5, 5",2026-07-24,"Sitelinks, Video, Related searches, AI overview",informational,AI overview
deepwiki mcp,5,5,720,17,0.00,https://mcp.directory/servers/deepwiki,17,3.4,0.00,0.33,95,"8, 100, 24, 24, 34, 20, 13, 13, 20, 24, 24, 20",2026-06-28,"Reviews, Video, People also ask, Related searches",informational,Organic
anthropic mcp directory,5,5,390,54,0.00,https://mcp.directory/publishers/anthropic,17,3.4,0.00,0.01,98,"45, 5, 45, 67, 100, 67, 5, 3, 3, 3, 3, 2",2026-06-23,"Sitelinks, Reviews, Video, Related searches",informational,Organic
notebooklm mcp,8,8,590,34,6.97,https://mcp.directory/servers/notebooklm,14,2.8,97.00,0.03,105,"5, 4, 0, 36, 0, 7, 4, 5, 41, 54, 100, 41",2026-06-28,"Sitelinks, Reviews, Video, People also ask, Related searches",informational,Organic
how to restart claude desktop,1,1,50,23,0.00,https://mcp.directory/servers/claude-desktop-restart,12,2.4,0.00,0.01,112,"14, 28, 14, 100, 100, 78, 14, 64, 14, 14, 14, 14",2026-07-09,"Sitelinks, Reviews, Video, Featured snippet, Video Carousel, People also ask, Related searches",informational,Organic
