keyword,volume,kd,priority,verdict,relevance_call
xh,49500,48,P1,entity,
puppeteer,22200,68,P2,entity,
context7,14800,24,P0,entity,
tavily,12100,37,P1,entity,
roo code,9900,41,P1,entity,
pnpm,9900,70,P2,entity,
mtainfo,8100,58,P2,judge,
figsor,6600,24,P0,judge,
abuseipdb,6600,37,P1,entity,
llama cpp,6600,54,P2,entity,
omnifocus,6600,66,P2,entity,
cherry studio,5400,35,P1,entity,
graphiti,5400,34,P1,entity,
gitlab cli,5400,40,P1,entity,
cmux,5400,58,P2,judge,
vlr.gg,5400,40,P2,judge,
browser use,5400,64,P2,entity,
gemini-cli,5400,71,P2,entity,
browser-use,5400,69,P2,entity,
skills.sh,4400,26,P0,judge,
chatppt,4400,19,P1,entity,
ipabusedb,4400,29,P1,judge,
neondb,4400,44,P2,judge,
azure cli,4400,68,P2,entity,
monkeytype.com,4400,65,P2,entity,
trakt.tv/activate,3600,22,P0,entity,
context 7,3600,23,P0,judge,
turborepo,3600,36,P1,entity,
cherry-studio,3600,32,P1,entity,
huggingface-cli,3600,28,P1,judge,
.bat file,3600,39,P1,judge,
anthropic skills,3600,64,P1,judge,
glm 4.5,3600,75,P2,entity,
mastra,3600,60,P2,entity,
tripo 3d,3600,59,P2,entity,
can claude generate images,2900,30,P1,judge,
obsidian bases,2900,28,P1,entity,
roocode,2900,37,P1,entity,
pentestgpt.ai,2900,45,P1,entity,
obsidian cli,2900,40,P1,judge,
ai flights,2900,50,P1,judge,
python sandbox,2900,40,P1,entity,
claude computer use,2900,50,P1,judge,
ai-sdk,2900,60,P2,entity,
runwayml.com,2900,73,P2,entity,
skill.sh,2400,22,P0,judge,
1panel,2400,24,P0,entity,
pulse-cms,2400,15,P1,judge,
from langgraph.checkpoint.memory import memorysaver,2400,25,P1,judge,
sequential-thinking,2400,26,P1,entity,
skillmp,2400,27,P1,judge,
twitter input,2400,33,P1,judge,
playwrite cli,2400,35,P1,judge,
abuseip,2400,39,P2,judge,
agent-browser,2400,69,P2,entity,
docker cli,2400,76,P2,entity,
nx workspace,2400,44,P2,entity,
langgraph official docs,2400,70,P2,judge,
cslib zulip,1900,0,P0,judge,
neo4j://127.0.0.1:7687,1900,13,P0,entity,
codereview graph,1900,24,P0,judge,
how to get youtube transcript for claude,1900,16,P0,attribute,
serper,1900,17,P1,entity,
amapofus,1900,26,P1,judge,
huggingface cli,1900,23,P1,judge,
datasite.com,1900,36,P1,entity,
biomni,1900,41,P1,entity,
tensorboard,1900,47,P1,judge,
supabase cli,1900,48,P1,entity,
playwright cli,1900,47,P2,entity,
tidewave,1900,32,P2,judge,
cherrystudio,1900,50,P2,judge,
agent browser,1900,50,P2,entity,
json-render,1900,52,P2,judge,
fiscal.ai,1900,43,P2,entity,
neon postgres,1900,52,P2,judge,
alphafold server,1900,50,P2,entity,
llama.ccp,1900,75,P2,judge,
browser agent,1900,77,P2,entity,
smithery,1900,65,P2,entity,
discord.copm,1900,87,P2,judge,
repomix,1600,35,P0,entity,
expo-dev-client,1600,18,P0,judge,
glama,1600,22,P0,judge,
obsidian-cli,1600,34,P1,judge,
skill-creator,1600,28,P1,entity,
agent mode lm studio,1600,27,P1,judge,
tavily api,1600,42,P1,judge,
leadmagic,1600,30,P1,entity,
boxes.py,1600,20,P1,judge,
brave search api key,1600,26,P1,judge,
abuse ipdb,1600,29,P1,judge,
notion api key,1600,36,P1,judge,
what is llama.cpp,1600,43,P2,judge,
shipping fee calculator,1600,56,P2,judge,
batch file,1600,42,P2,judge,
ast-grep,1600,45,P2,entity,
httpie,1600,43,P2,entity,
cluade skills,1600,48,P2,judge,
thordata,1600,41,P2,judge,
searnxng,1600,68,P2,judge,
ai elements,1600,47,P2,entity,
image magick,1600,62,P2,judge,
awesome-claude-skills,1300,0,P0,attribute,
skyvern,1300,18,P0,entity,
elevenlabs api key,1300,42,P0,judge,
remotion-best-practices,1300,19,P0,entity,
unusual whales python client,1300,7,P0,judge,
mantime,1300,15,P0,judge,
vercel.json,1300,29,P0,judge,
huggingface datasets,1300,43,P0,judge,
playwright-stealth,1300,23,P0,judge,
shopify cli,1300,22,P1,entity,
context7 api key,1300,27,P1,entity,
obra/superpowers,1300,29,P1,entity,
topyappers.com,1300,19,P1,entity,
claude image generation,1300,31,P1,judge,
turbopack,1300,37,P1,judge,
opentui,1300,22,P1,judge,
elevenlabs voice isolator,1300,25,P1,judge,
openrouterai,1300,27,P1,judge,
https //trakt.tv/activate,1300,26,P1,entity,
free sound.org,1300,38,P1,attribute,
laravel boost,1300,44,P1,entity,
tavily api key,1300,31,P1,judge,
ai element,1300,41,P1,judge,
21st.dev,1300,35,P2,entity,
agent sdk,1300,46,P2,judge,
amazon q cli,1300,58,P2,entity,
expo-router,1300,45,P2,judge,
fred api,1300,49,P2,judge,
sandbox python,1300,42,P2,judge,
pupeteer,1300,58,P2,judge,
ai-elements,1300,43,P2,entity,
mastra ai,1300,48,P2,entity,
vercel cli,1300,50,P2,entity,
whisper api,1300,60,P2,judge,
ai flight finder,1300,56,P2,judge,
mindsdb,1300,50,P2,entity,
continue.dev,1300,58,P2,entity,
bootstrap.md,1300,74,P2,judge,
shacn,1300,64,P2,judge,
go docs,1300,69,P2,entity,
golang docs,1300,90,P2,judge,
hydalam,1000,10,P0,judge,
dbt semantic layer,1000,26,P0,entity,
r.jina.ai usage url format,1000,0,P0,judge,
email nurture drip sequence timing 3-4 days apart then weekly,1000,6,P0,junk,
vercel skills,1000,42,P0,judge,
stich skills,1000,15,P0,judge,
what does imsg mean in texting,1000,15,P0,junk,
browser base,1000,31,P1,judge,
