keyword,volume,kd,priority
claude skills,27100,58,P1
claude code skills,8100,51,P1
skills.sh,4400,26,P0
agent skills,4400,52,P2
claude skill,4400,62,P2
anthropic skills,3600,64,P1
claude skills marketplace,2900,69,P2
skill.sh,2400,22,P0
skillmp,2400,27,P1
agent skill,1900,45,P2
claude code skill,1900,50,P2
skill-creator,1600,28,P1
cluade skills,1600,48,P2
awesome-claude-skills,1300,0,P0
vercel-labs/agent-skills,1300,27,P1
vercel skills,1000,42,P0
stich skills,1000,15,P0
npx skills,1000,28,P1
agentskills,1000,37,P1
openai/skills,880,59,P2
google skills design pattern,880,52,P2
skillsmc,720,24,P0
dev skill,720,26,P1
claude agent skills,720,35,P1
claude code /skills,720,44,P1
versel skills,720,48,P2
agent-skills,720,48,P2
frontend-design skill,590,11,P0
skills. sh,590,24,P1
claude code skills marketplace,590,34,P1
agent zero ai skill.md features,590,10,P1
github skills,590,60,P1
gemini skills,590,63,P2
skills ai,590,67,P2
claude frontend design skill,480,13,P0
is it safe to use agent from https://www.aitmpl.com/skills,480,26,P1
skills marketplace,480,44,P1
claude skills library,480,40,P1
anthropic agent skills,480,38,P1
skills agent,480,36,P1
skills.md,480,44,P1
ai agent skills,480,37,P2
skills for claude,480,42,P2
claude skills repo,480,58,P2
load skills with openai agents sdk,480,38,P2
find skills,390,3,P0
claude frontend-design skill,390,16,P0
calude skills backend api,390,11,P0
skill-architect,390,23,P0
https://skillsmp.com/,390,31,P2
openai skills,390,58,P2
claude ai skills,390,60,P2
ui/ux pro max skill,320,13,P0
humanizer skill,320,15,P0
claude skills documentation,320,28,P1
agent skills marketplace,320,26,P1
skill marketplace,320,29,P1
skills market,320,30,P1
skills claude code,320,47,P2
clawz skill.md capability schema runtime mapping,320,34,P2
claude-code skills,320,44,P2
how to add skills to claude code,320,55,P2
aieos identity schema skill.md agent framework mapping system prompt composition,320,29,P2
ai skill directory platforms,260,9,P0
dbt agent skills,260,23,P1
skills library,260,18,P1
ui-ux pro max skill,260,15,P1
ui-ux-pro-max skill,260,19,P1
clawz skill.md capability schema runtime mapping yaml frontmatter,260,24,P1
skill md,260,33,P1
claude skill marketplace,260,55,P1
skillsmd,260,35,P2
claude code agent skills,260,48,P2
skills. md,260,48,P2
