Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
agentskill.sh,1,1,30,47,3.89,https://agentskill.sh/,7,100,27.00,0.05,1080000,"0, 0, 0, 0, 0, 9, 9, 27, 100, 100, 100, 0",2026-07-20,"Sitelinks, Video, Video Carousel",informational,Organic
skills directory,63,63,90,42,0.00,https://agentskill.sh/,0,0,0.00,0.02,131,"7, 7, 7, 7, 7, 7, 7, 7, 80, 100, 100, 80",2026-07-18,"Sitelinks, Video, People also ask, Related searches, AI overview",commercial,Organic
skillssh,75,75,90,17,1.13,https://agentskill.sh/,0,0,0.00,0.02,123,"0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19, 100",2026-06-22,"Reviews, Video, Video Carousel, People also ask, Related searches",informational,Organic
skills.sh github,32,32,110,45,0.00,https://agentskill.sh/,0,0,0.00,0.33,34,"0, 0, 0, 0, 0, 0, 0, 0, 28, 44, 44, 100",2026-07-20,"Sitelinks, Related searches","navigational, transactional",Organic
skill .sh,93,93,170,21,7.20,https://agentskill.sh/,0,0,0.00,0.01,123,"0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 72, 100",2026-06-10,"Sitelinks, Video, Video Carousel, People also ask",informational,Organic
agent skills library,70,70,70,59,5.69,https://agentskill.sh/,0,0,0.00,0.06,101,"0, 0, 0, 0, 0, 0, 0, 9, 100, 100, 80, 80",2026-07-05,"Sitelinks, Video, Related searches",informational,Organic
skill sh,70,70,480,22,10.09,https://agentskill.sh/,0,0,0.00,0.33,247000000,"0, 0, 0, 0, 0, 0, 0, 0, 7, 100, 44, 55",2026-07-10,"Sitelinks, Reviews, Video, Video Carousel, Related searches",informational,Organic
vercel skills.sh,76,76,170,39,0.00,https://agentskill.sh/,0,0,0.00,0.01,94,"0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 36, 24",2026-06-13,"Video, Video Carousel",informational,Organic
agent skills repository,56,56,40,54,5.06,https://agentskill.sh/,0,0,0.00,0.09,129,"0, 0, 0, 0, 0, 0, 0, 17, 17, 100, 64, 64",2026-07-20,"Sitelinks, Video, People also ask, Related searches",commercial,Organic
agent skills directory,69,69,50,48,3.34,https://agentskill.sh/,0,0,0.00,0.04,129,"0, 0, 0, 0, 0, 0, 0, 9, 80, 66, 80, 100",2026-07-12,"Sitelinks, Video, Related searches, AI overview",informational,Organic
agent skills directory,70,70,50,48,3.34,https://agentskill.sh/,0,0,0.00,0.04,129,"0, 0, 0, 0, 0, 0, 0, 9, 80, 66, 80, 100",2026-07-12,"Sitelinks, Video, Related searches, AI overview",informational,Organic
skills sh,92,92,1000,15,7.20,https://agentskill.sh/,0,0,0.00,0.01,123,"0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 66, 100",2026-06-09,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches",transactional,Organic
.agents/skills,72,72,210,39,3.89,https://agentskill.sh/,0,0,0.00,0.05,106,"0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 1, 100",2026-07-06,"Video, Ads bottom, Video Carousel, People also ask, Related searches",informational,Organic
agentskills,73,73,1000,37,3.89,https://agentskill.sh/,0,0,0.00,0.05,116,"0, 0, 0, 0, 0, 0, 0, 100, 19, 19, 43, 19",2026-07-06,"Sitelinks, Video, Related searches",informational,Organic
agent skill marketplace,98,98,70,68,3.93,https://agentskill.sh/,0,0,0.00,0.15,131,"0, 0, 0, 0, 0, 0, 0, 3, 80, 100, 80, 65",2026-07-05,"Video, Ads top, Related searches, Discussions and forums, Ads middle",commercial,Organic
skills. sh,74,74,590,24,7.20,https://agentskill.sh/,0,0,0.00,0.01,120,"0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 66, 100",2026-06-12,"Sitelinks, Reviews, Video, Video Carousel, People also ask, Related searches",informational,Organic
skills. sh,86,86,590,24,7.20,https://agentskill.sh/,0,0,0.00,0.01,120,"0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 66, 100",2026-06-12,"Sitelinks, Reviews, Video, Video Carousel, People also ask, Related searches",informational,Organic
skill4agent,77,77,170,14,0.00,https://agentskill.sh/,0,0,0.00,0.06,862,"1, 1, 1, 0, 0, 1, 5, 4, 23, 100, 100, 0",2026-06-12,"Reviews, Video, Video Carousel, Related searches",informational,Organic
skill4agent,79,79,170,14,0.00,https://agentskill.sh/,0,0,0.00,0.06,862,"1, 1, 1, 0, 0, 1, 5, 4, 23, 100, 100, 0",2026-06-12,"Reviews, Video, Video Carousel, Related searches",informational,Organic
what is skills.sh,15,15,40,25,0.00,https://agentskill.sh/,0,0,0.00,0.33,17,"0, 0, 0, 0, 0, 0, 0, 0, 82, 82, 100, 52",2026-07-20,"Sitelinks, Video Carousel, People also ask, AI overview",informational,Organic
agentskills io,83,83,110,45,6.68,https://agentskill.sh/,0,0,0.00,0.02,99,"0, 0, 0, 0, 0, 0, 0, 35, 3, 0, 100, 100",2026-06-27,"Sitelinks, Video, Related searches",navigational,Organic
