Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
skills.sh,1,1,4400,26,10.09,https://www.skills.sh/,580,35.51,5852.00,0.33,146000000,"100, 66, 81, 66",2026-07-24,"Sitelinks, Reviews, Video, Video Carousel, AI overview",informational,Organic
skill.sh,2,2,2400,22,10.09,https://www.skills.sh/,316,19.35,3188.00,0.33,72900000,"100, 80, 27, 44",2026-07-26,"Sitelinks, Reviews, Video, Video Carousel, Short videos, AI overview",informational,Organic
skills sh,1,1,1000,15,7.20,https://www.skills.sh/,248,15.18,1785.00,0.01,123,"0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 66, 100",2026-06-09,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches",transactional,Organic
skills. sh,1,1,590,24,7.20,https://www.skills.sh/,146,8.94,1051.00,0.01,120,"0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 66, 100",2026-06-12,"Sitelinks, Reviews, Video, Video Carousel, People also ask, Related searches",informational,Organic
skill sh,1,1,480,22,10.09,https://www.skills.sh/,119,7.28,1200.00,0.33,247000000,"0, 0, 0, 0, 0, 0, 0, 0, 7, 100, 44, 55",2026-07-10,"Sitelinks, Reviews, Video, Video Carousel, Related searches",informational,Organic
skill .sh,1,1,170,21,7.20,https://www.skills.sh/,42,2.57,302.00,0.01,123,"0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 72, 100",2026-06-10,"Sitelinks, Video, Video Carousel, People also ask",informational,Organic
skill.sh,3,3,2400,22,10.09,https://www.skills.sh/,38,2.32,383.00,0.33,72900000,"100, 80, 27, 44",2026-07-26,"Sitelinks, Reviews, Video, Video Carousel, Short videos, AI overview",informational,AI overview
skills.sh,1,1,4400,26,10.09,https://www.skills.sh/,30,1.83,302.00,0.33,146000000,"100, 66, 81, 66",2026-07-24,"Sitelinks, Reviews, Video, Video Carousel, AI overview",informational,AI overview
skillsh,1,1,110,52,1.13,https://www.skills.sh/,27,1.65,30.00,0.02,98,"0, 0, 1, 3, 18, 5, 100, 18, 18, 18, 15, 35",2026-06-14,"Reviews, Video, People also ask, Related searches",navigational,Organic
skillssh,1,1,90,17,1.13,https://www.skills.sh/,22,1.34,24.00,0.02,123,"0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19, 100",2026-06-22,"Reviews, Video, Video Carousel, People also ask, Related searches",informational,Organic
skills.hs,1,1,70,3,0.00,https://www.skills.sh/,17,1.04,0.00,0.33,117,"0, 0, 0, 0, 0, 0, 0, 0, 4, 43, 100, 35",2026-07-10,"Sitelinks, Reviews, Video, People also ask, AI overview",informational,Organic
agent skills directory,1,1,50,48,3.34,https://www.skills.sh/,12,0.73,40.00,0.04,129,"0, 0, 0, 0, 0, 0, 0, 9, 80, 66, 80, 100",2026-07-12,"Sitelinks, Video, Related searches, AI overview",informational,Organic
