Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
skillsmp,1,1,1900,21,4.21,https://skillsmp.com/,1520,32.68,6399.00,0.19,0,"0, 0, 0, 0, 0, 0, 0, 24, 100, 54, 100, 100",2026-07-23,"Sitelinks, Related searches",navigational,Organic
claude skills marketplace,1,1,2900,69,7.84,https://skillsmp.com/,719,15.45,5636.00,0.1,129,"0, 0, 0, 0, 0, 3, 6, 10, 24, 44, 100, 54",2026-07-22,"Sitelinks, Video, People also ask, Related searches",commercial,Organic
skillmp,1,1,2400,15,0.39,https://skillsmp.com/,316,6.79,123.00,0.11,10,"44, 35, 44, 53, 44, 44, 53, 44, 44, 53, 100, 0",2026-07-27,"Related searches, AI overview",informational,Organic
https://skillsmp.com/,1,1,390,31,0.00,https://skillsmp.com/,312,6.7,0.00,0,40100,"100, 0, 0, 0",2026-07-22,"Sitelinks, Video, People also ask",navigational,Organic
skillsmc,1,1,720,24,0.00,https://skillsmp.com/,178,3.82,0.00,0.33,16800,"88, 72, 59, 72, 88, 100, 88, 72, 72, 88, 0, 0",2026-07-24,"Reviews, Video, Related searches",commercial,Organic
claude code skills marketplace,1,1,590,34,8.89,https://skillsmp.com/,146,3.13,1297.00,0.15,99,"0, 0, 0, 0, 0, 4, 10, 24, 54, 54, 100, 66",2026-07-09,"Sitelinks, Reviews, Video, Ads top, Ads bottom, Video Carousel, Related searches",informational,Organic
skilsmp,1,1,590,19,0.00,https://skillsmp.com/,146,3.13,0.00,0.33,103,"0, 0, 0, 0, 0, 0, 0, 100, 100, 100, 100, 1",2026-07-26,"Sitelinks, Video, Related searches, AI overview",informational,Organic
skills marketplace,1,1,480,44,4.80,https://skillsmp.com/,119,2.55,571.00,0.07,127,"2, 1, 1, 2, 1, 2, 8, 16, 46, 100, 84, 52",2026-07-07,"Sitelinks, Video, Related searches",commercial,Organic
skills mp,1,1,110,41,0.00,https://skillsmp.com/,88,1.89,0.00,0.33,103,"0, 0, 0, 0, 0, 0, 0, 2, 4, 54, 100, 81",2026-06-21,"Sitelinks, Video, Related searches",navigational,Organic
skill marketplace,1,1,320,29,4.37,https://skillsmp.com/,79,1.69,345.00,0.04,130,"5, 8, 0, 0, 0, 0, 0, 13, 100, 55, 67, 67",2026-07-19,"Sitelinks, Video, Related searches, AI overview",informational,Organic
agent skills marketplace,1,1,320,26,3.44,https://skillsmp.com/,79,1.69,271.00,0.19,132,"0, 0, 0, 0, 0, 0, 0, 0, 3, 76, 100, 100",2026-06-20,"Sitelinks, Video, Related searches",informational,Organic
skills market,1,1,320,30,4.37,https://skillsmp.com/,79,1.69,345.00,0.04,131,"0, 5, 3, 10, 2, 13, 5, 3, 45, 67, 100, 55",2026-06-30,"Knowledge panel, Sitelinks, Video, Related searches",informational,Organic
skillsmd,1,1,260,35,1.13,https://skillsmp.com/,64,1.37,72.00,0.02,125,"35, 35, 23, 18, 35, 35, 35, 35, 35, 35, 81, 100",2026-06-09,"Sitelinks, Video, Video Carousel, Related searches",informational,Organic
skills 市场,1,1,260,,0.00,https://skillsmp.com/zh,64,1.37,0.00,0.33,86,"0, 0, 0, 0, 0, 0, 0, 0, 1, 81, 30, 100",2026-06-24,"Video, Related searches",commercial,Organic
skill market,2,2,390,20,4.37,https://skillsmp.com/,51,1.09,222.00,0.04,132,"9, 14, 17, 32, 32, 26, 21, 21, 48, 72, 100, 59",2026-07-05,"Sitelinks, Video, People also ask, Related searches",informational,Organic
skills网站,1,1,170,50,0.00,https://skillsmp.com/zh,42,0.9,0.00,0.02,95,"3, 100, 43",2026-06-12,"Video, Related searches",commercial,Organic
skills database,1,1,170,22,4.60,https://skillsmp.com/,42,0.9,193.00,0.33,137,"28, 17, 23, 35, 43, 66, 53, 66, 53, 53, 53, 66",2026-06-24,"Sitelinks, Reviews, Video, People also ask, Related searches",informational,Organic
skills市场,1,1,170,14,0.00,https://skillsmp.com/zh,42,0.9,0.00,0.33,79,"0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 36, 100",2026-06-12,"Video, People also ask, Related searches",commercial,Organic
https skillsmp com,1,1,50,15,0.00,https://skillsmp.com/,40,0.86,0.00,0.33,100,"0, 0, 0, 0, 0, 0, 0, 34, 100, 34, 6, 6",2026-07-09,"Sitelinks, Related searches, Ads middle",navigational,Organic
https:// skillsmp. com/,1,1,50,20,0.00,https://skillsmp.com/,40,0.86,0.00,0.33,99,"0, 0, 0, 0, 0, 0, 0, 4, 100, 4, 4, 0",2026-07-09,"Sitelinks, Video, Related searches",navigational,Organic
claude skill marketplace,2,2,260,55,18.00,https://skillsmp.com/,34,0.73,612.00,0.04,129,"0, 0, 0, 0, 0, 0, 3, 10, 20, 36, 55, 100",2026-06-21,"Sitelinks, Reviews, Video, Ads bottom",commercial,Organic
skill 商店,1,1,140,19,0.00,https://skillsmp.com/zh,34,0.73,0.00,0.33,77,"82, 82, 52, 41, 82, 100, 82, 82, 82, 100, 100, 11",2026-06-16,"Video, Related searches, AI overview",informational,Organic
skill mp,1,1,40,15,0.00,https://skillsmp.com/,32,0.68,0.00,0.33,8,"4, 0, 0, 0, 4, 4, 4, 4, 4, 100, 80, 9",2026-07-19,"Sitelinks, People also ask, Related searches",navigational,Organic
skills map,1,1,210,17,4.79,https://skillsmp.com/,27,0.58,129.00,0.17,135,"6, 9, 23, 15, 29, 19, 12, 9, 44, 100, 54, 19",2026-06-21,"Image pack, Reviews, Video, Image, People also ask, Related searches, AI overview",informational,Organic
skillmd,1,1,110,29,1.13,https://skillsmp.com/,27,0.58,30.00,0.02,125,"66, 66, 42, 33, 66, 80, 66, 66, 0, 33, 80, 100",2026-06-04,"Sitelinks, Video, Video Carousel, People also ask, Related searches",informational,Organic
skills.marketplace,1,1,90,19,6.31,https://skillsmp.com/,22,0.47,138.00,0.06,129,"1, 1, 0, 1, 1, 1, 3, 8, 11, 81, 100, 0",2026-06-22,"Sitelinks, Video, Video Carousel",informational,Organic
skillsmap,1,1,170,17,4.79,https://skillsmp.com/,22,0.47,105.00,0.17,106,"23, 44, 11, 11, 11, 35, 54, 28, 15, 100, 23, 18",2026-06-18,"Sitelinks, Reviews, Video, Related searches, AI overview",informational,Organic
claude skills repository,3,3,260,65,10.51,https://skillsmp.com/,21,0.45,220.00,0.02,105,"0, 0, 0, 0, 0, 0, 17, 11, 14, 59, 88, 100",2026-06-21,"Sitelinks, Video, People also ask, Related searches",informational,Organic
is it safe to use agent from https://www.aitmpl.com/skills,1,1,480,26,0.00,https://skillsmp.com/,19,0.4,0.00,0,89400,"100, 0, 0",2026-07-25,"Video, People also ask",informational,People also ask
claude skills site,1,1,70,48,0.00,https://skillsmp.com/,17,0.36,0.00,0.03,127,"0, 0, 0, 0, 0, 0, 0, 0, 100, 100, 100, 9",2026-07-08,"Sitelinks, Video, Video Carousel, Related searches",informational,Organic
agent skill marketplace,1,1,70,68,3.93,https://skillsmp.com/,17,0.36,66.00,0.15,131,"0, 0, 0, 0, 0, 0, 0, 3, 80, 100, 80, 65",2026-07-05,"Video, Ads top, Related searches, Discussions and forums, Ads middle",commercial,Organic
skills search,1,1,70,37,0.00,https://skillsmp.com/,17,0.36,0.00,0.01,120,"0, 0, 0, 1, 0, 1, 1, 0, 1, 4, 100, 9",2026-07-04,"Reviews, Video, People also ask, Related searches",commercial,Organic
claude skills market,1,1,50,23,7.75,https://skillsmp.com/,12,0.25,93.00,0.08,78,"0, 0, 0, 0, 0, 5, 5, 5, 7, 5, 100, 5",2026-07-12,"Video, People also ask, Related searches, AI overview",informational,Organic
pdf2skills,1,1,50,8,0.00,https://skillsmp.com/skills/pxb988-pdf2skills-skills-pdf2skills-skill-md,12,0.25,0.00,0.33,83,"100, 77, 77, 100, 100, 55, 55, 55, 77, 55, 0, 0",2026-07-04,"Sitelinks, Reviews, Video, Related searches",informational,Organic
skills 网站,1,1,50,47,0.00,https://skillsmp.com/,12,0.25,0.00,0.01,9,"0, 0, 0, 0, 0, 0, 0, 0, 17, 12, 100, 5",2026-07-19,"Related searches, AI overview",informational,Organic
skills repository,1,1,50,58,7.84,https://skillsmp.com/,12,0.25,94.00,0.11,128,"9, 0, 9, 9, 9, 14, 9, 9, 9, 100, 80, 80",2026-07-05,"Video, Video Carousel, Related searches",informational,Organic
skills marketplace claude,1,1,50,32,5.59,https://skillsmp.com/,12,0.25,67.00,0.09,126,"0, 0, 0, 0, 0, 0, 6, 6, 9, 34, 100, 65",2026-07-12,"Sitelinks, Video, Video Carousel, Related searches",commercial,Organic
claude skills website,1,1,40,41,0.00,https://skillsmp.com/,9,0.19,0.00,0.04,99,"0, 0, 0, 0, 0, 0, 0, 5, 5, 7, 100, 5",2026-07-12,"Sitelinks, Video, Ads top, Ads bottom, Video Carousel, Related searches, AI overview","commercial, informational",Organic
skill library,1,1,40,32,4.59,https://skillsmp.com/,9,0.19,41.00,0.01,135,"44, 33, 55, 55, 55, 22, 22, 22, 11, 44, 11, 100",2026-07-21,"Sitelinks, Video, Video Carousel, People also ask, Related searches",informational,Organic
claude skill library,2,2,70,78,9.39,https://skillsmp.com/,9,0.19,84.00,0.07,132,"0, 0, 0, 0, 0, 9, 6, 6, 6, 53, 100, 81",2026-07-05,"Video, Video Carousel, Related searches, Discussions and forums",informational,Organic
agent skills repository,1,1,40,54,5.06,https://skillsmp.com/,9,0.19,45.00,0.09,129,"0, 0, 0, 0, 0, 0, 0, 17, 17, 100, 64, 64",2026-07-20,"Sitelinks, Video, People also ask, Related searches",commercial,Organic
claude skill market,1,1,40,29,5.20,https://skillsmp.com/,9,0.19,46.00,0.1,126,"0, 0, 0, 0, 0, 0, 9, 9, 80, 9, 100, 9",2026-07-12,"Sitelinks, Video, Related searches, Discussions and forums, Ads middle",commercial,Organic
skill marketplace claude,1,1,40,47,18.00,https://skillsmp.com/,9,0.19,162.00,0.06,132,"0, 0, 0, 0, 0, 0, 23, 4, 4, 14, 100, 52",2026-07-20,"Sitelinks, Video, Related searches",commercial,Organic
skilsmp,3,3,590,19,0.00,https://skillsmp.com/,9,0.19,0.00,0.33,103,"0, 0, 0, 0, 0, 0, 0, 100, 100, 100, 100, 1",2026-07-26,"Sitelinks, Video, Related searches, AI overview",informational,AI overview
agent skills repo,2,2,70,42,4.48,https://skillsmp.com/,9,0.19,40.00,0.03,108,"0, 0, 0, 0, 0, 0, 0, 6, 81, 100, 43, 53",2026-07-19,"Sitelinks, Video, Related searches, Discussions and forums",commercial,Organic
ai skills marketplace,2,2,70,32,4.27,https://skillsmp.com/,9,0.19,38.00,0.17,102,"0, 0, 0, 0, 0, 0, 0, 5, 5, 43, 100, 43",2026-07-05,"Sitelinks, Video, Related searches, AI overview",informational,Organic
skills library,6,1,260,22,4.59,https://skillsmp.com/,7,0.15,32.00,0.01,134,"43, 53, 43, 66, 82, 53, 35, 53, 100, 100, 100, 82",2026-07-27,"Sitelinks, Video, Related searches, Discussions and forums, AI overview",informational,Organic
skills map,1,1,210,17,4.79,https://skillsmp.com/,7,0.15,33.00,0.17,135,"6, 9, 23, 15, 29, 19, 12, 9, 44, 100, 54, 19",2026-06-21,"Image pack, Reviews, Video, Image, People also ask, Related searches, AI overview",informational,AI overview
skills repo,2,2,50,39,0.00,https://skillsmp.com/,6,0.12,0.00,0.01,20,"0, 0, 0, 0, 0, 0, 0, 9, 9, 100, 80, 100",2026-07-20,Related searches,"commercial, informational",Organic
skill marketplace,2,2,320,29,4.37,https://skillsmp.com/,6,0.12,26.00,0.04,130,"5, 8, 0, 0, 0, 0, 0, 13, 100, 55, 67, 67",2026-07-19,"Sitelinks, Video, Related searches, AI overview",informational,AI overview
claude code skills library,3,3,70,77,9.49,https://skillsmp.com/,5,0.1,47.00,0.12,103,"0, 0, 0, 0, 0, 10, 5, 5, 28, 28, 100, 53",2026-07-05,"Sitelinks, Video, Video Carousel, Related searches",informational,Organic
claude skills database,4,4,70,51,11.69,https://skillsmp.com/,4,0.08,46.00,0.05,127,"0, 0, 0, 0, 0, 2, 0, 5, 12, 43, 100, 53",2026-07-05,"Sitelinks, Reviews, Video, Ads top, Ads bottom, Related searches",informational,Organic
agent skills library,4,4,70,59,5.69,https://skillsmp.com/,4,0.08,22.00,0.06,101,"0, 0, 0, 0, 0, 0, 0, 9, 100, 100, 80, 80",2026-07-05,"Sitelinks, Video, Related searches",informational,Organic
anthropic skills marketplace,7,7,110,,11.06,https://skillsmp.com/,3,0.06,33.00,0.02,100,"0, 0, 0, 0, 0, 0, 3, 3, 23, 28, 100, 81",2026-06-17,"Sitelinks, Video, Related searches, Discussions and forums",commercial,Organic
claude code skill marketplace,6,6,110,68,6.35,https://skillsmp.com/,3,0.06,19.00,0.11,101,"0, 0, 0, 0, 0, 0, 5, 10, 82, 53, 100, 53",2026-07-19,"Sitelinks, Video, People also ask, Related searches",informational,Organic
skillmp,1,4,2400,15,0.39,https://skillsmp.com/,2,0.04,0.00,0.11,10,"44, 35, 44, 53, 44, 44, 53, 44, 44, 53, 100, 0",2026-07-27,"Related searches, AI overview",informational,AI overview
skillsmap,1,1,170,17,4.79,https://skillsmp.com/,2,0.04,9.00,0.17,106,"23, 44, 11, 11, 11, 35, 54, 28, 15, 100, 23, 18",2026-06-18,"Sitelinks, Reviews, Video, Related searches, AI overview",informational,AI overview
skills store,5,5,50,32,0.00,https://skillsmp.com/,1,0.02,0.00,0.33,105,"17, 17, 52, 0, 0, 0, 0, 23, 64, 82, 100, 64",2026-07-21,"Sitelinks, Reviews, Video, Related searches, AI overview",informational,Organic
skills 网站,1,1,50,47,0.00,https://skillsmp.com/,1,0.02,0.00,0.01,9,"0, 0, 0, 0, 0, 0, 0, 0, 17, 12, 100, 5",2026-07-19,"Related searches, AI overview",informational,AI overview
https://skillsmp.com/,6,6,390,31,0.00,https://skillsmp.com/,1,0.02,0.00,0,40100,"100, 0, 0, 0",2026-07-22,"Sitelinks, Video, People also ask",navigational,People also ask
database of skills,4,4,30,41,5.31,https://skillsmp.com/,1,0.02,5.00,0.38,138,"0, 18, 18, 18, 27, 18, 9, 18, 18, 18, 100, 18",2026-07-20,"Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
skill 仓库,7,7,50,30,0.00,https://skillsmp.com/,1,0.02,0.00,0.33,10,"0, 0, 0, 0, 0, 0, 0, 0, 10, 5, 100, 43",2026-07-19,"Related searches, AI overview",informational,Organic
skill map,1,1,210,20,4.21,https://skillsmp.com/,1,0.02,4.00,0.19,137,"28, 5, 28, 15, 100, 15, 11, 15, 35, 44, 81, 18",2026-07-10,"Image pack, Reviews, Video, Image, People also ask, Related searches, AI overview",informational,AI overview
ex.skill,37,37,90,26,0.00,https://skillsmp.com/,0,0,0.00,0.33,108,"6, 18, 54, 6, 10, 6, 6, 6, 6, 6, 10, 100",2026-07-23,"Sitelinks, Reviews, Video, AI overview","informational, navigational",Organic
ex.skill,44,44,90,26,0.00,https://skillsmp.com/,0,0,0.00,0.33,108,"6, 18, 54, 6, 10, 6, 6, 6, 6, 6, 10, 100",2026-07-23,"Sitelinks, Reviews, Video, AI overview","informational, navigational",Organic
skills-creator,32,32,320,,6.57,https://skillsmp.com/,0,0,0.00,0.09,127,"2, 1, 100",2026-06-03,"Video, Video Carousel, People also ask, Related searches",informational,Organic
findskills,45,45,50,1,0.00,https://skillsmp.com/,0,0,0.00,0.01,89,"0, 0, 0, 0, 0, 0, 0, 0, 23, 80, 100, 52",2026-07-17,"Reviews, Video, Related searches, AI overview",informational,Organic
skill mcp,78,78,70,29,0.00,https://skillsmp.com/,0,0,0.00,0.33,126,"0, 0, 0, 0, 0, 5, 5, 5, 5, 66, 100, 5",2026-07-04,"Sitelinks, Video, Video Carousel, Related searches","commercial, informational",Organic
skill mcp,79,79,70,29,0.00,https://skillsmp.com/,0,0,0.00,0.33,126,"0, 0, 0, 0, 0, 5, 5, 5, 5, 66, 100, 5",2026-07-04,"Sitelinks, Video, Video Carousel, Related searches","commercial, informational",Organic
sub issue github,48,48,40,48,0.00,https://skillsmp.com/skills/codekiln-langstar-claude-skills-gh-sub-issue-skill-md,0,0,0.00,0.33,0,"82, 11, 100, 23, 11, 0, 0, 11, 11, 11, 11, 11",2026-07-12,"Sitelinks, Video, Video Carousel, Related searches, AI overview","navigational, transactional",Organic
skills directory,45,45,90,42,0.00,https://skillsmp.com/,0,0,0.00,0.02,131,"7, 7, 7, 7, 7, 7, 7, 7, 80, 100, 100, 80",2026-07-18,"Sitelinks, Video, People also ask, Related searches, AI overview",commercial,Organic
download claude skills,45,45,90,39,12.22,https://skillsmp.com/,0,0,0.00,0.07,102,"0, 0, 0, 0, 0, 5, 5, 7, 10, 53, 100, 82",2026-07-05,"Sitelinks, Video, Ads bottom, Video Carousel, Related searches",informational,Organic
download claude skills,51,51,90,39,12.22,https://skillsmp.com/,0,0,0.00,0.07,102,"0, 0, 0, 0, 0, 5, 5, 7, 10, 53, 100, 82",2026-07-05,"Sitelinks, Video, Ads bottom, Video Carousel, Related searches",informational,Organic
skillssh,82,82,90,17,1.13,https://skillsmp.com/,0,0,0.00,0.02,123,"0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19, 100",2026-06-22,"Reviews, Video, Video Carousel, People also ask, Related searches",informational,Organic
skillssh,90,90,90,17,1.13,https://skillsmp.com/,0,0,0.00,0.02,123,"0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19, 100",2026-06-22,"Reviews, Video, Video Carousel, People also ask, Related searches",informational,Organic
nvida api,45,45,140,49,0.00,https://skillsmp.com/skills/rish2jain-paperresearchagent-claude-skills-nvidia-api-skill-md,0,0,0.00,0,0,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 3",2026-06-16,"Sitelinks, Video, People also ask",navigational,Organic
claude /skills,64,64,140,73,9.41,https://skillsmp.com/,0,0,0.00,0.04,110,"3, 100, 53",2026-06-13,"Sitelinks, Video, People also ask, Related searches","informational, transactional",Organic
claudeskills,68,68,170,56,8.64,https://skillsmp.com/,0,0,0.00,0.06,127,"0, 0, 0, 0, 0, 3, 3, 5, 30, 10, 100, 24",2026-07-04,"Sitelinks, Video, Video Carousel, Related searches",informational,Organic
mcp skills,82,82,210,31,3.91,https://skillsmp.com/,0,0,0.00,0.01,124,"2, 2, 2, 2, 2, 2, 6, 15, 36, 81, 66, 100",2026-06-16,"Sitelinks, Video, Image, Video Carousel, Related searches, AI overview",informational,Organic
anthropic/skills github,31,31,110,,7.16,https://skillsmp.com/creators/anthropics,0,0,0.00,0.33,0,"0, 0, 0, 0, 0, 0, 18, 10, 22, 54, 81, 100",2026-06-17,"Sitelinks, Related searches",navigational,Organic
skill generator,73,73,110,14,0.00,https://skillsmp.com/,0,0,0.00,0.33,115,"13, 10, 10, 8, 8, 6, 10, 8, 8, 10, 8, 13",2026-06-16,"Sitelinks, Reviews, Video, Related searches",informational,Organic
skill seeker,73,73,880,6,0.00,https://skillsmp.com/,0,0,0.00,0.02,120,"0, 0, 0, 0, 0, 13, 100, 3, 15, 5, 1, 2",2026-07-11,"Sitelinks, Reviews, Video, People also ask, Related searches",commercial,Organic
skill seeker,81,81,880,6,0.00,https://skillsmp.com/,0,0,0.00,0.02,120,"0, 0, 0, 0, 0, 13, 100, 3, 15, 5, 1, 2",2026-07-11,"Sitelinks, Reviews, Video, People also ask, Related searches",commercial,Organic
nx generator,49,49,70,33,0.00,https://skillsmp.com/skills/nrwl-nx-cursor-skills-nx-generate-skill-md,0,0,0.00,0.33,184,"50, 50, 78, 50, 78, 78, 50, 35, 50, 50, 35, 35",2026-07-05,"Sitelinks, Video, Image, People also ask, Related searches",informational,Organic
mcporter skill,63,63,90,6,0.00,https://skillsmp.com/,0,0,0.00,0.33,131,"0, 0, 0, 0, 0, 0, 0, 0, 2, 9, 100, 2",2026-07-24,"Reviews, Video, Video Carousel, Related searches, Discussions and forums, AI overview",informational,Organic
anthropic skill creator,40,40,210,57,16.03,https://skillsmp.com/,0,0,0.00,0.02,103,"0, 0, 0, 0, 0, 0, 0, 1, 1, 11, 16, 100",2026-06-07,"Sitelinks, Video, Video Carousel, People also ask, Related searches",navigational,Organic
cm search engine,83,83,40,51,0.00,https://skillsmp.com/creators/laiso/cman/skills-cm-search,0,0,0.00,0.33,383000000,"27, 18, 18, 18, 36, 36, 0, 100, 63, 36, 18, 18",2026-07-13,"Video, Related searches, AI overview",informational,Organic
claudecode skills,40,40,110,40,5.26,https://skillsmp.com/,0,0,0.00,0.07,126,"0, 0, 0, 0, 0, 12, 12, 17, 53, 66, 66, 100",2026-07-19,"Sitelinks, Video, Video Carousel, Related searches",commercial,Organic
