domain,module,keywords,volume,on_category_pct,auto_suggestion,verdict,why
mcpservers.org,/servers,5849,1364190,86%,keep,keep,
mcp.so,/server,3011,588810,85%,keep,keep,
mcpservers.org,/agent-skills,2987,706520,19%,JUDGE,drop,"真实且高价值的 Agent Skills 类目，但已明确迁往独立站；不是因低纯度删除"
pulsemcp.com,/servers,1708,367810,83%,keep,keep,
mcp.so,/servers,1401,421560,90%,keep,keep,
glama.ai,/mcp,966,179350,81%,keep,keep,
mcp.so,(home),879,298370,97%,keep,keep,
mcp.directory,/servers,613,121750,77%,keep,keep,
chat.mcp.so,/server,427,76040,91%,keep,keep,
mcp.directory,/skills,421,82910,42%,JUDGE,drop,"Skills 类目另站承接；混入的 MCP 实体词已由 servers 模块保留"
mcpservers.org,(home),340,85460,96%,keep,keep,
mcp.directory,/blog,287,42090,68%,keep,keep,
mcpservers.org,/remote-mcp-servers,206,63470,84%,keep,keep,
mcp.so,/tag,200,26530,94%,keep,keep,
mcp.so,/client,159,31400,77%,keep,drop,"相关类目，但当前产品范围明确不做 clients 模块"
pulsemcp.com,/clients,151,27620,90%,keep,drop,"相关类目，但当前产品范围明确不做 clients 模块"
mcpservers.org,/category,122,31850,98%,keep,keep,
pulsemcp.com,/use-cases,107,23140,27%,JUDGE,drop,"头部词分散在图片生成、航班和 Claude 功能，不是一个可复用的 MCP 需求簇"
mcp.so,/cli,106,107580,9%,JUDGE,drop,"相邻但不同的 CLI 目录；头部词主要是通用 CLI 品牌词，与 MCP Server 发现意图不一致"
mcp.so,/clients,95,46440,67%,keep,drop,"相关类目，但当前产品范围明确不做 clients 模块"
beta.mcp.so,/server,92,18090,100%,keep,keep,
mcp.directory,/clients,77,12550,87%,keep,drop,"相关类目，但当前产品范围明确不做 clients 模块"
glama.ai,/blog,66,17400,67%,keep,keep,
pulsemcp.com,/posts,53,5040,28%,JUDGE,drop,"头部词是泛 Claude/多代理新闻，模块语义是杂烩而不是稳定 MCP 页面类型"
mcp.so,/index.html,51,2830,96%,keep,keep,
glama.ai,/models,48,13270,0%,JUDGE,drop,"模型目录，与 MCP Server 目录意图不一致"
mcp.so,/category,48,7440,94%,keep,keep,
glama.ai,(home),44,11250,16%,JUDGE,drop,"品牌及拼写变体，不是本站需求"
mcpservers.org,/learn,40,38510,92%,keep,keep,
mcp.directory,/awesome-mcp-servers,39,5690,100%,keep,keep,
mcpservers.org,/search,39,14050,95%,keep,keep,
mcp.directory,/compare,35,5800,77%,keep,keep,
mcp.directory,/categories,35,3740,97%,keep,keep,
chat.mcp.so,/client,35,4940,77%,keep,keep,
mcp.so,/tags,28,5450,93%,keep,keep,
mcpservers.org,/topics,28,7310,100%,keep,keep,
mcpservers.org,/all,27,6420,96%,keep,keep,
mcp.directory,(home),26,4640,96%,keep,keep,
mcp.directory,/publishers,24,4060,83%,keep,keep,
ping.mcp.so,/server,19,1950,89%,keep,keep,
mcp.so,/skills,18,11950,0%,JUDGE,drop,"Skills 类目另站承接，且该桶头词为通用浏览器技能"
mcp.directory,/tools,11,1570,73%,keep,keep,
mcp.so,/categories,10,610,90%,keep,keep,
mcp.so,/smithery-ai,9,5580,11%,too-small,,
mcp.so,/u,8,1200,12%,too-small,,
pulsemcp.com,(home),7,5840,43%,too-small,,
beta.mcp.so,/tag,6,1200,100%,too-small,,
mcpservers.org,/official,6,1910,100%,too-small,,
mcpservers.org,/clients,6,280,100%,too-small,,
mcp.directory,/collections,5,510,80%,too-small,,
mcp.so,/dxt,5,650,80%,too-small,,
glama.ai,/sign-up,4,260,0%,too-small,,
mcp.directory,/about,4,780,100%,too-small,,
mcp.so,/search,4,690,100%,too-small,,
mcp.so,/blog,4,200,0%,too-small,,
glama.ai,/chat,3,2990,0%,too-small,,
mcp.so,/codex-themes,3,120,0%,too-small,,
beta.mcp.so,/client,3,320,67%,too-small,,
chat.mcp.so,/tag,3,220,100%,too-small,,
glama.ai,/settings,2,170,0%,too-small,,
glama.ai,/pricing,2,250,50%,too-small,,
mcp.directory,/best-mcp-servers,2,160,100%,too-small,,
mcp.so,/explore,2,80,100%,too-small,,
ping.mcp.so,/wp-*.php,2,660,50%,too-small,,
glama.ai,/newsletter,1,110,100%,too-small,,
glama.ai,/support,1,110,100%,too-small,,
mcp.so,/auth,1,90,100%,too-small,,
mcp.so,/home.html,1,90,100%,too-small,,
mcp.so,/feed,1,210,100%,too-small,,
mcp.so,/sign-in,1,720,0%,too-small,,
mcp.so,/ranking,1,260,100%,too-small,,
mcp.so,/posts,1,50,100%,too-small,,
beta.mcp.so,/servers,1,30,100%,too-small,,
ping.mcp.so,/tag,1,40,100%,too-small,,
mcpservers.org,/submit,1,90,0%,too-small,,
pulsemcp.com,/building-agents-with-goose,1,320,0%,too-small,,
pulsemcp.com,/mcp-apps,1,1300,100%,too-small,,
