keyword,volume,kd,priority,verdict,relevance_call
puppeteer,22200,68,P2,entity,
context7,14800,24,P0,entity,
mtainfo,8100,58,P2,judge,
figsor,6600,24,P0,judge,
abuseipdb,6600,37,P1,entity,
omnifocus,6600,66,P2,entity,
graphiti,5400,34,P1,entity,
cmux,5400,58,P2,judge,
vlr.gg,5400,40,P2,judge,
chatppt,4400,19,P0,entity,
ipabusedb,4400,29,P1,judge,
monkeytype.com,4400,65,P2,entity,
trakt.tv/activate,3600,22,P0,entity,
context 7,3600,23,P1,judge,
tripo 3d,3600,59,P2,entity,
python sandbox,2900,40,P1,entity,
pentestgpt.ai,2900,45,P1,entity,
claude computer use,2900,50,P1,judge,
1panel,2400,24,P0,entity,
pulse-cms,2400,15,P0,judge,
sequential-thinking,2400,26,P0,entity,
abuseip,2400,39,P2,judge,
cslib zulip,1900,0,P0,judge,
codereview graph,1900,24,P0,judge,
neo4j://127.0.0.1:7687,1900,13,P0,entity,
amapofus,1900,26,P0,judge,
serper,1900,17,P1,entity,
datasite.com,1900,36,P1,entity,
tidewave,1900,32,P1,judge,
fiscal.ai,1900,43,P2,entity,
alphafold server,1900,50,P2,entity,
llama.ccp,1900,75,P2,judge,
smithery,1900,65,P2,entity,
discord.copm,1900,87,P2,judge,
glama,1600,22,P0,judge,
brave search api key,1600,26,P1,judge,
leadmagic,1600,30,P1,entity,
abuse ipdb,1600,29,P1,judge,
shipping fee calculator,1600,56,P1,judge,
searnxng,1600,68,P2,judge,
thordata,1600,41,P2,judge,
skyvern,1300,18,P0,entity,
unusual whales python client,1300,7,P0,judge,
sequential thinking claude code,1300,11,P0,entity,
mantime,1300,15,P0,judge,
playwright-stealth,1300,23,P0,judge,
topyappers.com,1300,19,P1,entity,
https //trakt.tv/activate,1300,26,P1,entity,
openrouterai,1300,27,P1,judge,
free sound.org,1300,38,P1,attribute,
laravel boost,1300,44,P1,entity,
21st.dev,1300,35,P2,entity,
sandbox python,1300,42,P2,judge,
pupeteer,1300,58,P2,judge,
fred api,1300,49,P2,judge,
mindsdb,1300,50,P2,entity,
r.jina.ai usage url format,1000,0,P0,judge,
ai with no limits,1000,35,P0,judge,
t2t bilibili comments,1000,24,P1,entity,
suppr,1000,27,P1,entity,
chess.com api,1000,27,P1,judge,
r.jina.ai url format,1000,30,P1,judge,
jina ai reader r.jina.ai url format,1000,30,P1,junk,
coupler.io,1000,49,P1,entity,
zread.ai,1000,31,P2,entity,
server-sequential-thinking,1000,43,P2,entity,
postal charges calculator,1000,45,P2,judge,
huly.io,1000,41,P2,entity,
postage amount calculator,1000,50,P2,judge,
figure postage rates,1000,55,P2,judge,
gitingest,1000,44,P2,entity,
waver ia,1000,50,P2,judge,
hyper3d api key,880,12,P0,entity,
appkitie,880,0,P0,judge,
appkittie,880,14,P0,judge,
mymcp,880,26,P0,entity,
chatlog,880,30,P1,entity,
fred api key,880,34,P1,judge,
contex7,880,38,P1,entity,
ssemble.com,880,26,P1,entity,
https://paperswithcode.com/,880,42,P2,entity,
brave serach api key,880,37,P2,judge,
devdocs.io,880,40,P2,entity,
ankiconnect,880,51,P2,entity,
llama-swap,880,39,P2,entity,
strudel.cc,880,43,P2,judge,
windsor.ai,880,49,P2,entity,
brave seach,880,54,P2,judge,
shodon,880,56,P2,judge,
huggingface.co/spaces,880,62,P2,entity,
showdan,880,69,P2,judge,
brand24.com,880,71,P2,entity,
brightdata.com,880,69,P2,entity,
factset set up,720,25,P0,attribute,
comfy cloud,720,30,P0,judge,
webstation,720,12,P0,judge,
xcodebuildmcp,720,15,P0,entity,
mycp,720,18,P0,judge,
macse,720,22,P0,judge,
unipile,720,18,P1,judge,
shrimp-task-manager,720,25,P1,entity,
heroku api key,720,28,P1,judge,
sequential thinking,720,31,P1,entity,
streamable http,720,34,P1,entity,
abuseipdb api,720,26,P1,judge,
wttr.in,720,38,P1,judge,
heroku api token,720,27,P1,judge,
heigfield,720,45,P2,judge,
abuseipbd,720,35,P2,judge,
poke paste,720,36,P2,judge,
refero,720,38,P2,judge,
pulsem,720,40,P2,judge,
youtube uploader,720,54,P2,entity,
ghirda,720,48,P2,judge,
brave search',720,50,P2,entity,
brace search,720,50,P2,judge,
exa.ai,720,50,P2,entity,
semantic scholar api,720,54,P2,judge,
waver 1.0,720,56,P2,judge,
smcp,720,59,P2,judge,
mpc server,720,97,P2,entity,
mermaid.live,720,62,P2,judge,
brightdata official,720,61,P2,judge,
czillow,720,62,P2,judge,
zsnes emulator clam av,590,16,P0,judge,
trivago cocm,590,28,P0,judge,
grep_app,590,10,P0,judge,
jlcpcb parts library,590,12,P0,judge,
marginalia search,590,30,P0,judge,
midos,590,32,P0,entity,
desktop commander,590,21,P0,entity,
debug server host & port for device,590,21,P0,junk,
memcp,590,22,P1,entity,
tempmail.co,590,34,P1,judge,
agent zero ai skill.md features,590,10,P1,junk,
kubectl-ai,590,32,P1,entity,
sequential thinking github,590,56,P1,judge,
skynetchat.net,590,19,P1,judge,
http://127.0.0.1:8188,590,32,P1,entity,
naics to sic code,590,33,P1,judge,
llama swap,590,34,P1,entity,
htag,590,37,P1,judge,
rednote web,590,39,P1,judge,
abusedb,590,29,P2,judge,
shipping costs calculator,590,59,P2,judge,
chain list,590,44,P2,attribute,
shipping rate,590,62,P2,judge,
eltoque.com,590,34,P2,entity,
massed compute,590,37,P2,entity,
tavily key,590,39,P2,judge,
postage costs,590,50,P2,judge,
bravesearch api key,590,46,P2,judge,
fastmcp python,590,48,P2,judge,
21st . dev,480,16,P0,judge,
resumake.io,480,21,P0,entity,
gsa calc,480,32,P0,entity,
solscanner,480,37,P0,judge,
wcgw meaning,480,15,P0,attribute,
fips code lookup,480,17,P0,judge,
imcp,480,17,P0,entity,
wiza.co,480,34,P0,judge,
usda fooddata central api,480,51,P1,judge,
tanh calculator,480,27,P1,judge,
modelcontextprotocol/server-filesystem,480,29,P1,entity,
https//trakt.tv/activate,480,20,P1,entity,
endoflife.date,480,26,P1,judge,
gitmcp,480,24,P1,entity,
shipping pricing,480,63,P1,attribute,
bproxy,480,47,P1,judge,
mcdev,480,39,P2,entity,
pulse m,480,30,P2,judge,
abuseipd,480,29,P2,judge,
how do i find my naics code on https://siccode.com/,480,41,P2,junk,
string-db,480,32,P2,entity,
fred data api,480,47,P2,judge,
hcp terraform,480,46,P2,entity,
smithery ai,480,34,P2,entity,
мфдлун,480,45,P2,attribute,
exa api,480,35,P2,judge,
fastmcp sdk,480,46,P2,judge,
brave_api_key,480,37,P2,judge,
puppetier,480,50,P2,judge,
computer commander,480,49,P2,judge,
puppetteer,480,51,P2,judge,
browsermcp,480,43,P2,entity,
weavely,480,46,P2,entity,
ghydra,480,44,P2,judge,
pdf.co,480,47,P2,judge,
master go,480,54,P2,judge,
shodam,480,60,P2,judge,
pan doc,480,76,P2,judge,
www.duckduckgo.cim,480,92,P2,judge,
igdb api,390,8,P0,judge,
notebook-intelligence,390,18,P0,entity,
camofox,390,4,P0,entity,
ynab api,390,28,P0,judge,
my cdp and cdp collection.txt,390,4,P0,junk,
nsfw text generation props no limits,390,5,P0,junk,
context7 claude code,390,12,P0,entity,
edgeone pages,390,37,P0,entity,
