keyword,volume,kd,priority,verdict,relevance_call
puppeteer,22200,68,P2,"裸品牌词，MCP 只是它的一个侧面集成 — 删词、留实体页、改打限定变体（如 ""<brand> mcp""）",drop
context7,14800,24,P0,"裸品牌词，MCP 只是它的一个侧面集成 — 删词、留实体页、改打限定变体（如 ""<brand> mcp""）",drop
roo code,9900,41,P1,"裸品牌词，MCP 只是它的一个侧面集成 — 删词、留实体页、改打限定变体（如 ""<brand> mcp""）",drop
mtainfo,8100,58,P2,homonym — MCP 的另一个词义（关节/餐厅/硬件/交通），不是本品类,drop
figsor,6600,24,P0,"裸品牌词，MCP 只是它的一个侧面集成 — 删词、留实体页、改打限定变体（如 ""<brand> mcp""）",drop
abuseipdb,6600,37,P1,"裸品牌词，MCP 只是它的一个侧面集成 — 删词、留实体页、改打限定变体（如 ""<brand> mcp""）",drop
omnifocus,6600,66,P2,"裸品牌词，MCP 只是它的一个侧面集成 — 删词、留实体页、改打限定变体（如 ""<brand> mcp""）",drop
cherry studio,5400,35,P1,"裸品牌词，MCP 只是它的一个侧面集成 — 删词、留实体页、改打限定变体（如 ""<brand> mcp""）",drop
graphiti,5400,34,P1,"裸品牌词，MCP 只是它的一个侧面集成 — 删词、留实体页、改打限定变体（如 ""<brand> mcp""）",drop
cmux,5400,58,P2,"裸品牌词，MCP 只是它的一个侧面集成 — 删词、留实体页、改打限定变体（如 ""<brand> mcp""）",drop
vlr.gg,5400,40,P2,homonym — MCP 的另一个词义（关节/餐厅/硬件/交通），不是本品类,drop
browser-use,5400,69,P2,"裸品牌词，MCP 只是它的一个侧面集成 — 删词、留实体页、改打限定变体（如 ""<brand> mcp""）",drop
chatppt,4400,19,P1,"裸品牌词，MCP 只是它的一个侧面集成 — 删词、留实体页、改打限定变体（如 ""<brand> mcp""）",drop
ipabusedb,4400,29,P1,"裸品牌词，MCP 只是它的一个侧面集成 — 删词、留实体页、改打限定变体（如 ""<brand> mcp""）",drop
monkeytype.com,4400,65,P2,homonym — MCP 的另一个词义（关节/餐厅/硬件/交通），不是本品类,drop
trakt.tv/activate,3600,22,P0,homonym — MCP 的另一个词义（关节/餐厅/硬件/交通），不是本品类,drop
context 7,3600,23,P0,"裸品牌词，MCP 只是它的一个侧面集成 — 删词、留实体页、改打限定变体（如 ""<brand> mcp""）",drop
cherry-studio,3600,32,P1,"裸品牌词，MCP 只是它的一个侧面集成 — 删词、留实体页、改打限定变体（如 ""<brand> mcp""）",drop
tripo 3d,3600,59,P2,"裸品牌词，MCP 只是它的一个侧面集成 — 删词、留实体页、改打限定变体（如 ""<brand> mcp""）",drop
roocode,2900,37,P1,"裸品牌词，MCP 只是它的一个侧面集成 — 删词、留实体页、改打限定变体（如 ""<brand> mcp""）",drop
pentestgpt.ai,2900,45,P1,"裸品牌词，MCP 只是它的一个侧面集成 — 删词、留实体页、改打限定变体（如 ""<brand> mcp""）",drop
ai flights,2900,50,P1,"裸品牌词，MCP 只是它的一个侧面集成 — 删词、留实体页、改打限定变体（如 ""<brand> mcp""）",drop
python sandbox,2900,40,P1,"裸品牌词，MCP 只是它的一个侧面集成 — 删词、留实体页、改打限定变体（如 ""<brand> mcp""）",drop
1panel,2400,24,P0,"裸品牌词，MCP 只是它的一个侧面集成 — 删词、留实体页、改打限定变体（如 ""<brand> mcp""）",drop
pulse-cms,2400,15,P1,"裸品牌词，MCP 只是它的一个侧面集成 — 删词、留实体页、改打限定变体（如 ""<brand> mcp""）",drop
sequential-thinking,2400,26,P1,"裸品牌词，MCP 只是它的一个侧面集成 — 删词、留实体页、改打限定变体（如 ""<brand> mcp""）",drop
abuseip,2400,39,P2,"裸品牌词，MCP 只是它的一个侧面集成 — 删词、留实体页、改打限定变体（如 ""<brand> mcp""）",drop
cslib zulip,1900,0,P0,"裸品牌词，MCP 只是它的一个侧面集成 — 删词、留实体页、改打限定变体（如 ""<brand> mcp""）",drop
neo4j://127.0.0.1:7687,1900,13,P0,"裸品牌词，MCP 只是它的一个侧面集成 — 删词、留实体页、改打限定变体（如 ""<brand> mcp""）",drop
codereview graph,1900,24,P0,"裸品牌词，MCP 只是它的一个侧面集成 — 删词、留实体页、改打限定变体（如 ""<brand> mcp""）",drop
serper,1900,17,P1,"裸品牌词，MCP 只是它的一个侧面集成 — 删词、留实体页、改打限定变体（如 ""<brand> mcp""）",drop
amapofus,1900,26,P1,homonym — MCP 的另一个词义（关节/餐厅/硬件/交通），不是本品类,drop
datasite.com,1900,36,P1,"裸品牌词，MCP 只是它的一个侧面集成 — 删词、留实体页、改打限定变体（如 ""<brand> mcp""）",drop
biomni,1900,41,P1,"裸品牌词，MCP 只是它的一个侧面集成 — 删词、留实体页、改打限定变体（如 ""<brand> mcp""）",drop
tidewave,1900,32,P2,"裸品牌词，MCP 只是它的一个侧面集成 — 删词、留实体页、改打限定变体（如 ""<brand> mcp""）",drop
cherrystudio,1900,50,P2,"裸品牌词，MCP 只是它的一个侧面集成 — 删词、留实体页、改打限定变体（如 ""<brand> mcp""）",drop
fiscal.ai,1900,43,P2,"裸品牌词，MCP 只是它的一个侧面集成 — 删词、留实体页、改打限定变体（如 ""<brand> mcp""）",drop
llama.ccp,1900,75,P2,homonym — MCP 的另一个词义（关节/餐厅/硬件/交通），不是本品类,drop
smithery,1900,65,P2,"裸品牌词，MCP 只是它的一个侧面集成 — 删词、留实体页、改打限定变体（如 ""<brand> mcp""）",drop
discord.copm,1900,87,P2,homonym — MCP 的另一个词义（关节/餐厅/硬件/交通），不是本品类,drop
repomix,1600,35,P0,"裸品牌词，MCP 只是它的一个侧面集成 — 删词、留实体页、改打限定变体（如 ""<brand> mcp""）",drop
glama,1600,22,P0,"裸品牌词，MCP 只是它的一个侧面集成 — 删词、留实体页、改打限定变体（如 ""<brand> mcp""）",drop
leadmagic,1600,30,P1,"裸品牌词，MCP 只是它的一个侧面集成 — 删词、留实体页、改打限定变体（如 ""<brand> mcp""）",drop
brave search api key,1600,26,P1,含核心词或本品类语境,keep
abuse ipdb,1600,29,P1,"裸品牌词，MCP 只是它的一个侧面集成 — 删词、留实体页、改打限定变体（如 ""<brand> mcp""）",drop
what is llama.cpp,1600,43,P2,含核心词或本品类语境,keep
shipping fee calculator,1600,56,P2,含核心词或本品类语境,keep
thordata,1600,41,P2,含核心词或本品类语境,keep
searnxng,1600,68,P2,含核心词或本品类语境,keep
skyvern,1300,18,P0,含核心词或本品类语境,keep
unusual whales python client,1300,7,P0,含核心词或本品类语境,keep
mantime,1300,15,P0,含核心词或本品类语境,keep
playwright-stealth,1300,23,P0,含核心词或本品类语境,keep
topyappers.com,1300,19,P1,含核心词或本品类语境,keep
openrouterai,1300,27,P1,含核心词或本品类语境,keep
https //trakt.tv/activate,1300,26,P1,homonym — MCP 的另一个词义（关节/餐厅/硬件/交通），不是本品类,drop
free sound.org,1300,38,P1,含核心词或本品类语境,keep
laravel boost,1300,44,P1,含核心词或本品类语境,keep
21st.dev,1300,35,P2,含核心词或本品类语境,keep
amazon q cli,1300,58,P2,含核心词或本品类语境,keep
