"platform_id","platform_domain","targets","task_status","result_url","clickable_link_count","checked_at","notes"
"114","www2.archivists.org","all_five","not_published","","0","2026-08-04","Legacy administrator login only; unrelated archive comment"
"127","www.c-sharpcorner.com","all_five","account_active_no_link","https://www.c-sharpcorner.com/members/knit-wang","0","2026-08-04","Email verified; homepage URL locked to ranked users; description rejects URLs"
"149","www.bostonprideforthepeople.org","all_five","not_published","","0","2026-08-04","Public member routes exist, but nonprofit-community purpose is unrelated"
"151","lists.lysator.liu.se","all_five","account_active_no_link","","0","2026-08-04","Email verified; profile has no public URL/Bio/Signature field"
"152","happilyevaafter.com","all_five","not_published","","0","2026-08-04","Website field exists only on an unrelated parenting comment"
"155","www.techbang.com","all_five","browser_blocked","","0","2026-08-04","Controlled browser security policy blocked interaction"
"157","www.waspnation.com","all_five","not_published","","0","2026-08-04","No usable public submission or profile route"
"161","chupin-philippe.com","all_five","not_published","","0","2026-08-04","No usable public submission or profile route"
"166","blog.udn.com","all_five","registration_failed","","0","2026-08-04","Server repeatedly returned password-rule error; no account created"
"169","ncsota.org","all_five","not_published","","0","2026-08-04","No usable public submission or profile route"
"171","www.organic-mallorca.com","all_five","not_published","","0","2026-08-04","No usable public submission or profile route"
"172","souda.jp","all_five","not_published","","0","2026-08-04","URL field belongs to an unrelated legacy BBS"
"175","fourloop.s11.xrea.com","all_five","not_published","","0","2026-08-04","Legacy music comment surface is unavailable or unrelated"
"176","www.upendogroup.ngdafrica.com","all_five","not_published","","0","2026-08-04","Insecure HTTP feedback route and context mismatch"
"177","www.tt.rim.or.jp","all_five","not_published","","0","2026-08-04","Unrelated legacy guestbook URL field"
"180","www.students.universityofgalway.ie","all_five","not_published","","0","2026-08-04","Student-community context mismatch"
"183","www.viact.ai","all_five","not_published","","0","2026-08-04","No comment or public contributor widget rendered"
"186","www.horosvaz.cz","all_five","not_published","","0","2026-08-04","Unrelated climbing-association comment form"
"187","www.ain-soph.jp","all_five","not_published","","0","2026-08-04","No usable public submission or profile route"
"188","www.plntburger.com","all_five","not_published","","0","2026-08-04","No usable public submission or profile route"
