Domain,Domain ascore,mcpradars.com,pulsemcp.com,mcp.directory,mcpservers.org,mcp.so,Matches
amazon.com,100,0,0,0,1,0,1
github.com,100,0,59,3,45,89,4
microsoft.com,100,0,0,0,4,0,1
spotify.com,100,0,0,0,0,1,1
yahoo.com,100,0,2,3,72,44,4
medium.com,98,0,12,0,27,28,3
note.com,97,0,9,0,0,11,2
bing.com,95,0,0,0,2,10,2
baidu.com,94,0,1,0,0,1,2
mit.edu,90,0,1,0,0,0,1
ibm.com,87,0,0,0,2,0,1
substack.com,86,0,53,0,23,35,3
prtimes.jp,85,0,0,0,1,0,1
oracle.com,84,0,0,0,2,0,1
terra.com.br,83,0,0,0,0,1,1
claude.ai,81,0,0,0,0,2,1
wix.com,81,0,1,0,0,0,1
brave.com,78,0,2,0,0,1,2
visualstudio.com,77,0,0,0,0,1,1
amd.com,75,0,0,0,10,13,2
itmedia.co.jp,75,0,0,0,0,4,1
npmjs.com,75,0,0,0,0,1,1
docker.com,74,0,0,0,6,8,2
arxiv.org,73,0,1,0,1,1,3
hatena.ne.jp,73,0,0,0,0,4,1
ycombinator.com,73,0,2,0,4,5,3
bu.edu,72,0,0,0,1,0,1
habr.com,72,0,5,0,7,12,3
gamer.com.tw,71,0,0,0,0,1,1
lexilogos.com,71,0,0,0,1,0,1
freecodecamp.org,70,0,1,0,0,0,1
gitlab.com,70,0,0,0,2,0,1
jetbrains.com,70,0,1,0,0,0,1
qiita.com,70,0,3,0,3,3,3
tweakers.net,70,0,0,0,0,1,1
web.dev,70,0,18,0,0,0,1
dev.to,69,0,9,3,23,44,4
go.dev,68,0,0,0,1,0,1
grokipedia.com,68,0,4,1,0,1,3
brunch.co.kr,67,0,0,0,0,1,1
ionos.com,67,0,0,0,0,3,1
paloaltonetworks.com,67,0,0,0,0,2,1
pypi.org,67,0,8,0,3,8,3
cutout.pro,66,0,0,0,0,1,1
datacamp.com,66,0,0,0,10,0,1
trendmicro.com,66,0,0,0,0,15,1
kyoto-u.ac.jp,65,0,0,0,1,0,1
uai.com.br,65,0,0,0,0,1,1
vocus.cc,65,0,0,0,0,1,1
webflow.com,65,0,0,0,1,0,1
comune.milano.it,64,0,0,0,1,0,1
welcometothejungle.com,64,0,0,0,0,1,1
ascii.jp,63,0,1,0,0,0,1
cuni.cz,63,0,0,0,1,0,1
railway.app,63,0,0,0,1,5,2
vc.ru,63,0,0,1,0,0,1
lovable.dev,62,0,0,0,1,0,1
mcmaster.ca,62,0,0,0,1,0,1
zenn.dev,61,0,5,2,6,23,4
acm.org,60,0,0,0,0,1,1
oreilly.com,59,0,5,0,2,0,2
sas.com,59,0,1,0,1,0,2
webcatalog.io,59,0,0,0,0,29,1
gla.ac.uk,57,0,0,0,1,0,1
make.com,57,0,1,0,0,0,1
w3.org,57,0,0,0,0,2,1
firstory.io,56,0,0,0,2,0,1
gate.com,56,0,13,0,0,13,2
gitbook.io,56,0,8,0,10,7,3
gridinsoft.com,56,0,0,0,1,1,2
logrocket.com,56,0,2,0,0,1,2
lovable.app,56,0,0,1,0,0,1
nagoya-u.ac.jp,56,0,0,0,2,0,1
pub.dev,56,0,3,0,0,0,1
slashdot.org,56,0,0,0,0,1,1
xda-developers.com,56,0,0,0,0,1,1
atlassian.net,55,0,2,0,1,2,3
beehiiv.com,55,0,7,3,3,7,4
csdn.net,55,0,42,0,44,238,3
fastcompany.com,55,0,1,0,0,0,1
kit.edu,55,0,0,0,1,0,1
producthunt.com,55,0,0,0,0,1,1
serif.com,55,0,1,0,0,0,1
sitepoint.com,55,0,0,0,0,1,1
upv.es,55,0,0,0,4,0,1
backlinko.com,54,0,1,0,0,0,1
explodingtopics.com,54,0,0,0,0,1,1
google.cn,54,0,12,0,0,0,1
greasyfork.org,54,0,0,0,0,2,1
technologyreview.com,54,0,0,0,0,1,1
alternativeto.net,53,0,0,1,0,0,1
cas.cz,53,0,0,0,1,0,1
cision.com,53,0,1,0,0,0,1
jina.ai,53,0,0,0,0,1,1
nero.com,53,0,0,0,0,80,1
sonarsource.com,53,0,0,0,0,2,1
telerik.com,53,0,0,0,1,1,2
towardsdatascience.com,53,0,2,0,1,1,3
ucc.ie,53,0,0,0,1,0,1
aliyun.com,52,0,0,0,2,2,2
deeplearning.ai,52,0,5,0,0,6,2
docs.rs,52,0,1,0,1,0,2
ericsson.com,52,0,0,0,1,0,1
hackernoon.com,52,0,0,0,0,2,1
kit.com,52,0,2,0,0,0,1
modelcontextprotocol.io,52,0,4,0,0,0,1
raindrop.io,52,0,3,0,0,0,1
slides.com,52,0,0,0,0,1,1
tencent.com,52,0,1,0,1,2,3
uni-bremen.de,52,0,2,0,0,0,1
accio.com,51,0,1,0,0,0,1
apify.com,51,0,1,0,1,4,3
jmp.com,51,0,0,0,1,0,1
jsdelivr.com,51,0,0,0,0,1,1
onb.ac.at,51,0,0,0,1,0,1
thoughtworks.com,51,0,14,0,0,14,2
uni-augsburg.de,51,0,0,0,1,0,1
wu.ac.at,51,0,0,2,0,0,1
altexsoft.com,50,0,0,0,1,3,2
bento.me,50,0,0,0,1,0,1
eesel.ai,50,0,6,0,0,6,2
f5.com,50,0,1,0,1,1,3
imagine.art,50,0,0,1,0,0,1
infoworld.com,50,0,1,0,0,1,2
machinelearningmastery.com,50,0,0,0,2,0,1
neo4j.com,50,0,0,0,0,1,1
plainenglish.io,50,0,0,0,3,3,2
skywork.ai,50,0,1,6,4,5,4
socialpilot.co,50,0,0,0,1,0,1
tenable.com,50,0,0,0,1,1,2
tupi.fm,50,0,0,0,0,1,1
velog.io,50,0,0,0,0,2,1
abacus.ai,49,0,0,0,0,2,1
cio.com,49,0,1,0,0,2,2
cline.bot,49,0,3,0,4,4,3
cnblogs.com,49,0,7,0,4,22,3
computerwoche.de,49,0,0,0,0,1,1
darkreading.com,49,0,1,0,0,0,1
doe.gov,49,0,0,0,1,0,1
etsi.org,49,0,0,0,1,0,1
hancom.com,49,0,2,0,0,0,1
indiehackers.com,49,0,0,0,0,1,1
ithome.com.tw,49,0,0,0,0,1,1
luma.com,49,0,2,0,0,0,1
metabase.com,49,0,0,3,3,0,2
mie-u.ac.jp,49,0,0,0,5,0,1
podcast.ru,49,0,0,0,0,6,1
snyk.io,49,0,12,0,0,0,1
thenewstack.io,49,0,1,0,0,1,2
titech.ac.jp,49,0,0,0,1,0,1
uni-hohenheim.de,49,0,0,0,1,0,1
uni-wuppertal.de,49,0,2,0,0,0,1
algolia.com,48,0,0,0,0,1,1
csoonline.com,48,0,1,0,0,3,2
enea.it,48,0,0,0,1,0,1
inaf.it,48,0,0,0,3,0,1
scrapbox.io,48,0,0,0,0,5,1
tabnine.com,48,0,0,0,1,0,1
uxpin.com,48,0,1,0,0,0,1
volcengine.com,48,0,5,0,1,11,3
wikidocs.net,48,0,3,0,3,3,3
windowsforum.com,48,0,0,2,2,0,2
you.com,48,0,2,0,0,0,1
augmentcode.com,47,0,0,0,8,1,2
boost.org,47,0,6,0,0,0,1
brightdata.com,47,0,0,0,1,0,1
ckeditor.com,47,0,2,0,0,0,1
geckoboard.com,47,0,0,0,1,0,1
ghost.io,47,0,2,0,1,1,3
gitconnected.com,47,0,0,0,2,0,1
infoq.com,47,0,0,0,1,1,2
itworld.co.kr,47,0,1,0,0,0,1
launchdarkly.com,47,0,0,0,3,0,1
licensecounter.jp,47,0,0,0,0,2,1
mailtrap.io,47,0,0,0,0,1,1
mindstudio.ai,47,0,0,0,1,0,1
mulesoft.com,47,0,0,0,1,0,1
openwebinars.net,47,0,0,0,0,2,1
packagist.org,47,0,0,0,0,3,1
speakerdeck.com,47,0,0,0,2,0,1
sysdig.com,47,0,0,0,4,4,2
2ch.org,46,0,0,0,0,2,1
datacenterknowledge.com,46,0,0,0,0,4,1
genspark.ai,46,0,1,0,0,0,1
getstream.io,46,0,3,0,0,1,2
huaweicloud.com,46,0,0,0,1,0,1
itsfoss.com,46,0,0,0,1,0,1
katalon.com,46,0,0,0,1,0,1
opensearch.org,46,0,0,0,1,0,1
pr-cy.ru,46,0,0,0,1,1,2
uowm.gr,46,0,0,0,1,0,1
3gpp.org,45,0,0,0,1,0,1
apidog.com,45,0,0,0,0,2,1
boomi.com,45,0,0,0,1,0,1
builder.io,45,0,0,0,4,0,1
devin.ai,45,0,0,0,8,0,1
instantdomainsearch.com,45,0,0,1,0,0,1
niemanlab.org,45,0,8,0,0,0,1
nitech.ac.jp,45,0,0,0,1,0,1
nousresearch.com,45,0,0,0,0,2,1
raycast.com,45,0,2,0,0,0,1
salesforge.ai,45,0,0,0,4,0,1
toolify.ai,45,0,0,0,0,41,1
ufz.de,45,0,0,0,0,2,1
umbraco.com,45,0,0,0,0,1,1
uni-osnabrueck.de,45,0,0,0,1,0,1
viblo.asia,45,0,0,0,0,2,1
visier.com,45,0,1,0,0,0,1
writehuman.ai,45,0,0,0,0,1,1
chayns.site,44,0,0,0,1,0,1
coupler.io,44,0,0,0,0,4,1
datadome.co,44,0,0,0,0,2,1
dify.ai,44,0,0,0,8,8,2
firecrawl.dev,44,0,0,0,1,1,2
geniee.co.jp,44,0,1,0,0,0,1
hatelabo.jp,44,0,0,0,0,2,1
ithome.com,44,0,0,0,0,1,1
pieces.app,44,0,0,0,0,2,1
posthog.com,44,0,3,0,0,1,2
siliconangle.com,44,0,0,1,0,0,1
sncf.fr,44,0,0,0,1,0,1
wishket.com,44,0,0,0,0,1,1
coder.com,43,0,0,0,0,1,1
dataiku.com,43,0,0,0,2,0,1
decodo.com,43,0,0,0,1,0,1
dio.me,43,0,0,0,1,0,1
ecosistemastartup.com,43,0,2,0,0,0,1
goose-docs.ai,43,0,14,0,0,0,1
hashnode.dev,43,0,3,0,2,3,3
hexlet.io,43,0,0,0,0,1,1
hochschule-rhein-waal.de,43,0,0,0,2,0,1
htwk-leipzig.de,43,0,0,0,1,0,1
inflearn.com,43,0,0,0,0,3,1
it-administrator.de,43,0,0,0,0,1,1
japan-ai.co.jp,43,0,1,0,0,0,1
kodekloud.com,43,0,2,0,0,0,1
latenode.com,43,0,0,0,7,0,1
raphael.app,43,0,0,0,0,1,1
securityboulevard.com,43,0,0,0,3,8,2
smzdm.com,43,0,0,1,0,0,1
snaplogic.com,43,0,0,0,0,4,1
stibee.com,43,0,0,0,0,1,1
towardsai.net,43,0,2,0,1,3,3
xebia.com,43,0,0,0,4,0,1
bad.news,42,0,0,0,0,17,1
composio.dev,42,0,0,0,2,4,2
convert.com,42,0,0,0,1,0,1
descope.com,42,0,4,0,1,1,3
donstu.ru,42,0,0,0,1,0,1
dremio.com,42,0,1,0,0,0,1
