Groups,Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features,Number of Results
"mcp,server",what is an mcp server,Informational,5400,"0.29,0.36,0.44,0.44,0.44,0.54,0.44,0.36,0.54,0.66,1.00,1.00",46,0.80,0.18,"Sitelinks, AI Overview, Reviews, Video, Video carousel, People also ask, Related searches",181
"mcp,server",what is mcp server,Informational,4400,"0.35,0.54,0.54,0.66,0.54,0.54,0.44,0.44,0.54,0.66,1.00,1.00",51,1.00,0.19,"Sitelinks, AI Overview, Reviews, Video, People also ask, Related searches",125
"ai,mcp,server",what is a mcp server for ai,Informational,1900,"1.00,0.00,0.01,0.01",54,0.00,0.00,"Sitelinks, AI Overview, Video, Video carousel, Short videos, People also ask, Discussions and forums, Related searches, Ads bottom",187
"mcp,server",what is a mcp server,Informational,1600,"0.20,0.44,0.44,0.44,0.44,0.52,0.36,0.36,0.44,0.66,0.80,1.00",50,0.97,0.20,"Sitelinks, AI Overview, Video, Video carousel, Short videos, People also ask, Related searches, Ads bottom",192
"ai,enable,google,manus,mcp,server,sheet",how to enable google sheets mcp server in manus ai,,880,1.00,,0.00,0.00,,
"build,mcp,server",how to build an mcp server,Informational,390,"0.54,0.67,0.54,1.00,0.81,1.00,0.36,0.19,0.54,0.54,0.81,0.54",24,1.91,0.50,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Discussions and forums, Related searches, Ads bottom",139
"claude,create,mcp,server",how to create claude mcp server,Informational,390,"1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",27,0.00,0.00,"Sitelinks, AI Overview, Video, Video carousel, Discussions and forums, Related searches",129
"ai,mcp,server",what is an mcp server in ai,Informational,390,"0.16,0.08,0.30,0.20,0.30,0.30,0.16,0.24,0.45,0.67,1.00,0.76",58,1.57,0.36,"Sitelinks, AI Overview, Reviews, Video, Video carousel, People also ask, Related searches",198
"ai,mcp,server",what is mcp server in ai,Informational,390,"0.21,0.26,0.48,0.48,0.48,0.48,0.39,0.39,0.32,0.72,0.88,1.00",50,1.61,0.39,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches",196
"build,mcp,server",how to build mcp server,Informational,320,"0.66,0.66,0.66,0.66,0.44,0.81,1.00,0.54,0.44,0.81,0.54,1.00",21,1.97,0.49,"Sitelinks, AI Overview, Video, Video carousel, Discussions and forums, Related searches",149
"create,mcp,server",how to create an mcp server,Informational,260,"0.66,1.00,0.81,0.66,0.43,0.81,0.66,0.35,0.54,0.54,0.81,0.81",28,1.97,0.48,"Sitelinks, AI Overview, Video, Video carousel, Related searches, Ads middle",143
"connect,mcp,registry,server",could not connect to mcp server mcp-registry,Informational,210,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00",10,0.00,0.12,"Sitelinks, AI Overview, Video, Video carousel, Related searches",190
"create,mcp,server",how to create mcp server,Informational,210,"0.82,1.00,1.00,0.53,0.66,0.53,0.35,0.35,0.35,0.53,0.66,0.66",40,2.02,0.46,"Sitelinks, AI Overview, Video, Video carousel, Related searches, Ads bottom",59700000
"mcp,server",what's an mcp server,Informational,210,"0.23,0.82,1.00,0.66,0.43,0.82,0.35,0.53,0.35,0.00,0.82,0.82",41,0.51,0.12,"Sitelinks, AI Overview, Video, Video carousel, Short videos, People also ask, Related searches",126
"add,claude,code,mcp,server",how to add mcp server to claude code,Informational,170,"0.07,0.53,0.43,1.00,0.05,0.66,0.35,0.28,0.53,0.53,0.53,0.43",24,13.03,0.05,"Sitelinks, AI Overview, Video, Video carousel, Related searches",104
"build,mcp,server",how to build a mcp server,Informational,140,"0.65,1.00,0.65,0.65,0.42,0.65,0.26,0.26,0.34,0.42,0.53,0.53",19,3.27,0.35,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Discussions and forums, Related searches",134
"create,mcp,server",how to create a mcp server,Informational,140,"1.00,0.66,1.00,0.80,0.80,0.52,0.66,0.33,0.42,0.52,0.66,0.80",28,2.73,0.33,"Sitelinks, AI Overview, Video, Video carousel, Related searches",142
"make,mcp,server",how to make an mcp server,Informational,140,"0.65,0.65,0.53,0.65,1.00,0.53,0.21,0.28,0.34,0.43,0.43,0.53",33,4.07,0.25,"Sitelinks, AI Overview, Video, Video carousel, Discussions and forums, Related searches",148
"make,mcp,server",how to make mcp server,Informational,140,"0.54,0.06,0.06,1.00,0.05,0.02,0.02,0.02,0.02,0.06,0.19,0.02",42,2.79,0.29,"Sitelinks, AI Overview, Video, Video carousel, Short videos, Discussions and forums, Related searches, Ads bottom",133
"add,cursor,mcp,server",how to add mcp server to cursor,Informational,110,"1.00,0.65,0.53,0.06,0.53,0.06,0.06,0.06,0.06,0.06,0.06,0.34",20,0.00,0.01,"AI Overview, Video, Video carousel, Short videos, Related searches",9330000
"mcp,server,write",how to write an mcp server,Informational,110,"0.64,1.00,1.00,0.82,0.52,0.52,0.41,0.11,0.11,1.00,0.64,1.00",47,3.42,0.35,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches, Ads bottom, Ads middle",167
"ai,mcp,server",what is a mcp server in ai,Informational,110,"0.00,0.00,0.14,0.14,0.04,0.35,0.35,0.29,0.43,0.22,1.00,1.00",49,1.57,0.37,"Sitelinks, AI Overview, Reviews, Video, Video carousel, Short videos, People also ask, Related searches, Ads bottom",197
"mcp,server,test",how to test mcp server,Informational,90,"0.43,0.28,0.43,0.05,0.05,1.00,0.05,0.05,0.05,0.05,0.05,0.00",23,6.42,0.24,"Sitelinks, AI Overview, Reviews, Video, Video carousel, People also ask, Related searches, Ads top, Ads middle",154
"mcp,server",what does an mcp server do,Informational,90,"0.23,0.52,0.52,0.52,0.80,0.52,0.80,0.09,1.00,0.66,0.80,1.00",57,0.53,0.23,"Sitelinks, AI Overview, Video, Short videos, People also ask, Related searches",60200000
"mcp,server",what mcp server,Informational,90,"0.05,0.43,0.12,0.28,0.05,0.10,0.05,0.05,0.23,0.17,1.00,0.35",47,0.84,0.22,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches",129
"gong,mcp,server",does gong have an mcp server,,70,"0.09,0.36,0.81,1.00",,13.00,0.16,,
"mcp,server,work",how does an mcp server work,Informational,70,"0.41,0.64,0.82,0.82,0.41,1.00,0.29,0.52,1.00,0.64,1.00,1.00",43,0.62,0.41,"Sitelinks, AI Overview, Video, Discussions and forums, Related searches",60000000
"build,mcp,python,server",how to build an mcp server python,Informational,70,"0.53,0.06,0.06,0.06,0.06,1.00,0.09,0.06,0.06,0.06,0.06,0.06",33,4.94,0.32,"Sitelinks, AI Overview, Video, Video carousel, Discussions and forums, Related searches",154
"mcp,server,set",how to set up an mcp server,Informational,70,"0.26,0.26,0.80,0.34,0.19,0.65,0.07,0.07,0.07,1.00,0.11,0.42",44,41.60,0.40,"Sitelinks, AI Overview, Video, Video carousel, Short videos, Discussions and forums, Related searches, Ads bottom",60300000
