Groups,Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features,Number of Results
"mcp,tool",mcp tools,Informational,1900,"0.55,0.65,0.82,0.82,1.00,0.65,0.55,0.44,0.65,0.65,0.65,0.65",44,4.50,0.10,"AI Overview, Image pack, Video, Video carousel, People also ask, Related searches",186
"chrome,dev,mcp,tool",chrome dev tools mcp,Informational,1600,"0.00,0.00,0.01,0.01,0.54,1.00,0.54,0.54,0.20,0.54,0.43,0.54",52,7.37,0.04,"Sitelinks, Reviews, Image, Video, Video carousel, Related searches",122
"browser,mcp,tool",browser tools mcp,Informational,880,"0.41,0.79,1.00,0.66,0.10,0.16,0.08,0.07,0.00,0.01,0.07,0.04",36,7.34,0.03,"Video, Video carousel, Discussions and forums, Related searches",124
"browser,mcp,tool",browser-tools-mcp,Informational,880,"0.00,1.00,0.00,1.00,0.00,0.05,0.00,0.01,0.01,0.03,0.03,0.01",43,7.34,0.03,"Video, Video carousel, Related searches",124
"mcp,resources,tool,vs",mcp resources vs tools,Commercial,590,"0.01,0.24,1.00,0.01,0.01,0.00,0.01,0.01,0.00,0.00,0.02,0.00",24,7.06,0.05,"Sitelinks, AI Overview, Video, Discussions and forums, Related searches",127
"mcp,tool",mcp tool,Informational,590,"0.36,0.36,0.81,0.45,0.55,0.62,0.45,0.24,0.30,1.00,0.13,0.55",34,2.34,0.08,"Sitelinks, AI Overview, Image pack, Video, Video carousel, People also ask, Discussions and forums, Related searches, Ads bottom",194
"discovery,dynamic,mcp,registration,tool",mcp dynamic tool registration and discovery,,390,"0.06,1.00",,0.00,0.00,,
"mcp,sequentialthinking,tool",mcp-sequentialthinking-tools,Informational,390,"1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",8,0.00,0.00,"Sitelinks, Video, Video carousel, People also ask, Related searches",178
"chrome,dev,mcp,tool",chrome dev tool mcp,Informational,320,"0.00,0.00,0.00,0.00,0.02,0.24,0.11,1.00,0.04,0.13,0.13,0.24",44,4.78,0.01,"Sitelinks, Video, Video carousel, Related searches",120
"create,directory,file,filesystem,github,list,mcp,read,server,tool,write",github mcp server filesystem tools list read_file write_file create_directory,,320,1.00,,0.00,0.00,,
