Groups,Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features,Number of Results
"mcp,tool",mcp.tool,Informational,70,"0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.01,0.01,0.06,0.05,0.09",50,4.50,0.10,"Sitelinks, AI Overview, Reviews, Video, Video carousel, People also ask",187
"list,mcp,tool",mcp tools list,Informational,70,"0.04,0.42,0.42,1.00,0.52,0.80,0.09,0.09,0.80,0.42,0.33,0.14",45,2.12,0.07,"Sitelinks, AI Overview, Video, Related searches, Ads bottom",60000000
"list,mcp,tool",mcp list tools,Informational,320,"1.00,1.00,0.48,0.59,0.21,0.17,0.02,0.02,0.07,0.07,0.09,0.07",40,4.91,0.06,"Sitelinks, AI Overview, Reviews, Image, Video, Discussions and forums, Related searches",131
"context,model,protocol,tool",model context protocol tools,Informational,30,"0.18,1.00,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.00,0.18,0.18",51,6.84,0.28,"Sitelinks, Video, Video carousel, Discussions and forums, Related searches",134
"mcp,server,tool",mcp server tools,Informational,170,"0.53,0.66,1.00,0.43,0.43,0.28,0.23,0.28,0.35,0.28,0.53,0.35",68,5.71,0.30,"Sitelinks, AI Overview, Video, People also ask, Related searches, Ads bottom",128
"mcp,tool",what are mcp tools,Informational,140,"0.65,0.65,0.42,0.65,0.42,0.65,0.42,0.34,0.53,0.80,1.00,0.80",44,1.63,0.13,"AI Overview, Video, Video carousel, Short videos, People also ask, Related searches",131
"mcp,tool",mcp tool,Informational,590,"0.36,0.36,0.81,0.45,0.55,0.62,0.45,0.24,0.30,1.00,0.13,0.55",34,2.34,0.08,"Sitelinks, AI Overview, Image pack, Video, Video carousel, People also ask, Discussions and forums, Related searches, Ads bottom",194
mcptool,mcptool,Informational,140,"0.05,0.19,0.04,0.81,0.02,0.02,0.00,0.54,0.29,0.81,0.81,1.00",36,2.34,0.08,"Image, Video, Video carousel, Related searches",331000
"best,mcp,tool",best mcp tools,"Informational, Commercial",30,"1.00,1.00,0.28,0.42,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28",40,4.70,0.34,"Sitelinks, AI Overview, Video, Video carousel, Discussions and forums, Related searches, Ads middle",181
"claude,list,mcp",claude mcp list,Informational,140,"0.06,0.53,0.34,0.53,0.06,0.28,1.00,0.21,1.00,0.65,1.00,0.65",75,15.52,0.04,"Sitelinks, AI Overview, Video, Video carousel, Related searches, Ads top",36200000
"mcp,server",mcp server,Informational,40500,"0.54,0.54,0.81,0.66,0.81,0.81,0.54,0.54,0.54,0.66,0.66,1.00",88,2.87,0.20,"Sitelinks, AI Overview, Video, People also ask, Related searches, Things to know, Ads bottom",131
"list,mcp,server,tool",mcp server list tools,Informational,40,"0.50,0.14,0.14,0.14,1.00,1.00,0.14,0.14,0.14,0.14,0.14,0.14",50,2.94,0.14,"Sitelinks, AI Overview, Video, Video carousel, Related searches",117
"mcp,server,tool",mcp server tool,"Informational, Transactional",40,"0.63,0.27,0.18,0.63,0.09,1.00,0.00,0.00,0.00,1.00,0.00,0.00",54,5.71,0.30,"Sitelinks, Video, People also ask, Discussions and forums, Related searches, Ads top, Ads middle",128
"mcp,seven",mcp sever,Informational,140,"0.05,0.35,0.00,1.00,0.23,0.66,0.12,0.17,0.28,0.02,1.00,1.00",58,2.87,0.20,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches, Things to know",125
"mcp,工具",mcp 工具,Informational,110,"0.02,0.02,0.02,1.00,0.02,0.02,0.02,0.02,0.02,0.02,0.17,0.02",24,0.69,0.13,"AI Overview, Image pack, Video, Related searches",29700000
"ios,mcp",mcp.io,Informational,260,"0.00,0.00,0.00,0.00,0.00,1.00,0.67,0.67,0.67,0.67,1.00,0.67",82,5.31,0.06,Video,56300000
"mcp,server,what",whats an mcp server,Informational,320,"0.08,0.06,0.20,0.20,0.16,0.30,0.30,0.16,0.13,1.00,0.55,0.45",51,0.80,0.18,"Sitelinks, AI Overview, Video, People also ask, Related searches",193
"ai,mcp,servers",ai mcp servers,Informational,110,"0.35,0.53,0.12,0.66,0.07,0.35,0.17,0.28,0.23,1.00,0.43,0.35",56,2.73,0.35,"Sitelinks, AI Overview, Image, Video, Video carousel, People also ask, Discussions and forums, Related searches, Ads bottom, Ads middle",47500000
"ai,mcp,tool",ai mcp tools,Informational,30,"1.00,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14",72,5.67,0.51,"Sitelinks, AI Overview, Video, People also ask, Related searches",118
"ai,mcps",ai mcps,Informational,40,"0.27,1.00,0.18,0.18,0.63,0.63,0.45,0.45,0.63,0.63,1.00,1.00",47,0.00,0.06,"Sitelinks, AI Overview, Image, Video, Video carousel, People also ask, Related searches",3950000
"ai,mcp,sdk",ai sdk mcp,Informational,170,"1.00,1.00,0.50,1.00,0.63,0.63,0.81,0.63,0.63,0.63,0.50,0.38",32,5.69,0.04,"Sitelinks, Reviews, Video, Video carousel, People also ask, Discussions and forums",131
"mcp,servers",all mcp servers,Informational,40,"0.14,0.28,0.78,0.78,0.14,1.00,0.14,0.14,0.14,0.14,0.14,0.14",62,1.44,0.29,"Sitelinks, Video, Related searches",52900000
"best,mcp,server",best mcp server,Commercial,110,"0.05,0.19,0.02,0.02,0.54,0.66,0.00,0.12,0.15,1.00,0.19,0.15",46,1.82,0.19,"Sitelinks, AI Overview, Video, Video carousel, Related searches",116
"best,mcp,servers",best mcp servers,Commercial,1900,"1.00,0.35,1.00,0.44,0.16,0.16,0.13,0.10,0.16,0.35,0.13,0.10",44,2.98,0.31,"Sitelinks, AI Overview, Video, Video carousel, Related searches",130
"claude,mpc",claude mpc,Informational,90,"0.00,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.79,1.00",73,0.00,0.33,"Sitelinks, Image, Image pack, Video, Video carousel, People also ask, Related searches",491000
"desktop,mcp",desktop mcp,Informational,140,"1.00,1.00,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05",48,0.00,0.05,"Sitelinks, Image pack, Video, Video carousel, Related searches",60000000
"development,mcp",developer mcp,Informational,40,"0.11,1.00,0.11,0.64,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11",52,6.67,0.16,"Sitelinks, AI Overview, Video, People also ask",129
"doc,mcp,server",docs mcp server,Informational,110,"0.00,0.82,1.00,0.82,1.00,0.64,0.64,0.52,0.41,0.52,0.52,0.52",31,3.05,0.03,"Video, Related searches",133
"document,mcp",documentation mcp,Informational,110,"0.02,0.15,0.23,0.15,0.29,1.00,0.02,0.02,0.02,0.02,0.02,0.02",50,3.58,0.04,"Sitelinks, Video, Related searches",105
"explained,mcp",explain mcp,Informational,90,"1.00,0.82,0.64,0.11,0.52,0.11,0.52,0.29,0.11,0.64,1.00,0.82",50,0.61,0.12,"Sitelinks, AI Overview, Video, Video carousel, Related searches",117
"fastmcp,list,tool",fastmcp list tools,"Informational, Navigational",40,"1.00,0.64,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11",30,0.00,0.01,"Sitelinks, AI Overview, Reviews, Video, Discussions and forums, Related searches",105
"first,mcp",first mcp,Informational,70,"0.12,0.12,0.65,0.12,1.00,0.40,0.53,0.40,0.53,0.53,0.40,0.40",55,0.00,0.33,"AI Overview, Image pack, Video, People also ask, Related searches",124
"ai,definition,mcp",mcp ai definition,Informational,50,"0.04,1.00,0.52,0.66,0.09,0.09,0.09,0.09,0.09,0.09,0.19,0.09",64,0.00,0.10,"AI Overview, Video, People also ask, Related searches",46900000
"architecture,mcp",mcp architecture,Informational,880,"0.77,1.00,0.56,0.77,1.00,0.77,0.44,0.44,0.44,0.37,0.56,0.44",54,2.51,0.14,"AI Overview, Reviews, Image, Video, People also ask, Related searches",132
"blog,mcp",mcp blog,Navigational,40,"0.45,0.18,0.36,0.18,0.45,0.36,1.00,0.18,0.36,0.18,0.18,0.18",48,0.00,0.03,"Sitelinks, Related searches",129
"claude,list,mcp",mcp claude list,Informational,40,"0.14,1.00,0.50,1.00,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14",53,0.00,0.07,"Sitelinks, AI Overview, Video, Related searches",98
"code,mcp",mcp code,Informational,90,"0.14,0.79,0.50,1.00,1.00,1.00,0.64,0.00,1.00,0.64,0.64,0.50",58,2.93,0.08,"AI Overview, Video, People also ask, Related searches, Ads bottom",128
"coding,mcp",mcp coding,Informational,70,"0.11,0.64,0.23,1.00,0.52,0.05,0.11,0.64,0.52,0.05,0.52,0.05",67,2.93,0.08,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches",123
"compatible,mcp",mcp compatible,Informational,50,"1.00,0.50,1.00,0.28,0.28,0.14,0.14,0.14,0.14,0.14,0.14,0.14",44,0.00,0.04,"AI Overview, Video, People also ask, Related searches",190
"computer,mcp",mcp computer,Informational,40,"0.63,0.45,0.18,1.00,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18",45,0.00,0.01,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches, Popular products",182
"define,mcp",mcp define,Informational,140,"0.00,0.00,0.02,0.00,0.04,0.00,0.02,0.00,0.00,1.00,1.00,0.54",50,0.82,0.02,"Sitelinks, AI Overview, Video, Video carousel, Short videos, People also ask, Related searches",120
"diagram,mcp",mcp diagram,Informational,260,"0.43,0.66,1.00,1.00,1.00,0.66,0.43,0.29,0.35,0.66,0.43,0.54",31,0.00,0.00,"Image, Image pack, Video, Video carousel, People also ask, Related searches",136
"doc,mcp",mcp doc,Informational,170,"0.03,1.00,1.00,0.28,0.28,0.18,0.28,0.03,0.03,0.03,0.00,0.03",50,0.00,0.02,"Image pack, Video, People also ask, Related searches, Ads bottom",59600000
"explanation,mcp",mcp explanation,Informational,110,"0.52,0.82,0.82,1.00,0.82,0.82,1.00,0.64,0.23,0.11,0.52,0.11",54,0.81,0.06,"Sitelinks, AI Overview, Reviews, Video, Video carousel, Related searches",123
"explorer,mcp",mcp explorer,Informational,70,"0.00,1.00,0.15,0.53,0.42,0.65,0.07,0.53,0.65,0.42,0.65,0.42",48,0.00,0.33,"Sitelinks, Image pack, Video, Video carousel, Related searches",10300000
"format,mcp",mcp format,Informational,90,"0.41,0.64,0.82,1.00,0.41,0.64,0.41,0.29,0.29,0.41,0.05,0.64",69,2.01,0.06,"Sitelinks, AI Overview, Reviews, Video, Video carousel",132
"host,mcp",mcp hosts,Informational,70,"0.28,1.00,0.00,0.17,0.05,0.07,0.17,0.10,0.12,0.05,0.05,0.05",59,0.00,0.08,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches",158
"interface,mcp",mcp interface,Informational,90,"0.64,1.00,0.64,1.00,0.64,0.64,0.64,0.41,0.52,0.52,0.64,0.64",71,1.49,0.05,"Sitelinks, AI Overview, Image pack, Video, Video carousel, People also ask, Related searches",40600000
"ios,mcp",mcp io,Informational,110,"0.80,0.53,1.00,0.26,0.26,0.11,0.53,0.00,0.00,0.11,0.15,0.00",59,0.00,0.02,"Video, Video carousel, Related searches",115
"library,mcp",mcp library,Informational,1900,"1.00,0.81,0.44,0.24,0.44,0.54,0.24,0.19,0.09,0.24,0.19,0.04",88,5.69,0.33,"Sitelinks, AI Overview, Reviews, Video, Video carousel, People also ask, Related searches",129
"market,mcp",mcp market,Navigational,720,"0.46,0.46,0.68,0.37,0.52,0.31,0.37,0.25,0.46,0.52,1.00,0.68",72,3.08,0.02,"Sitelinks, Video, People also ask, Related searches",131
"mcp,media",mcp media,Informational,40,"1.00,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17",25,0.00,0.33,"AI Overview, Image, Video, Video carousel, People also ask",52000000
"mcp,open,source",mcp open source,Informational,70,"0.79,0.79,0.14,0.29,0.14,0.35,0.14,1.00,0.14,0.14,0.29,0.21",83,3.30,0.11,"Sitelinks, Image, Video, Related searches",59100000
"mcp,repair",mcp repo,Informational,140,"0.65,1.00,1.00,0.83,1.00,0.83,0.65,0.65,0.53,0.53,0.65,0.00",71,5.38,0.05,"Sitelinks, Image pack, Video, Related searches, Ads bottom",30100000
"mcp,repository",mcp repository,Informational,140,"0.65,1.00,0.80,0.80,0.26,0.65,0.53,0.26,0.42,0.34,0.42,0.26",67,4.50,0.05,"Sitelinks, Video, Video carousel, People also ask, Related searches",133
"mcp,scheme",mcp schema,Informational,110,"1.00,0.64,1.00,1.00,0.64,0.64,0.11,0.11,0.40,0.40,0.40,0.40",29,4.45,0.07,"Sitelinks, AI Overview, Image pack, Video, Related searches",132
"agent,ai,mcp,server",mcp server agentic ai,Informational,30,"0.22,0.22,0.22,1.00,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22",26,4.34,0.50,"Sitelinks, AI Overview, Image, Video, Video carousel, Related searches",27300000
"directory,mcp,server",mcp server directory,Informational,170,"1.00,1.00,1.00,0.43,0.43,0.43,0.34,0.28,0.34,0.43,0.34,0.28",49,3.13,0.08,"AI Overview, Video, Video carousel, Related searches, Ads top, Ads bottom",38400000
"explained,mcp,server",mcp server explained,Informational,170,"0.42,0.65,0.80,0.53,0.53,0.53,0.65,0.26,0.53,0.65,1.00,1.00",52,1.53,0.35,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Ads bottom",120
"framework,mcp,server",mcp server framework,Informational,30,"0.22,0.22,0.55,0.22,1.00,1.00,0.22,0.22,0.22,0.22,0.22,0.22",56,4.80,0.26,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Discussions and forums, Related searches, Ads bottom",147
"generator,mcp,server",mcp server generator,Informational,90,"0.35,0.35,0.35,1.00,1.00,0.65,0.28,0.21,0.21,0.35,0.49,0.35",18,3.78,0.45,"Sitelinks, AI Overview, Video, Video carousel, Related searches, Ads bottom",122
"integration,mcp,server",mcp server integration,Informational,30,"0.81,0.18,0.36,0.18,0.18,0.18,0.63,0.27,0.18,0.81,0.81,1.00",53,1.70,0.25,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches",124
"logo,mcp,server",mcp server logo,Informational,110,"1.00,0.53,0.34,0.43,0.34,0.43,0.43,0.21,0.34,0.43,0.43,0.65",18,0.00,0.00,"Image, Image pack, Video, Related searches",51700000
