Date,Clicks,Impressions,CTR,Position
2026-07-21,0,0,,
2026-07-22,0,0,,
2026-07-23,0,9,0%,14.4
2026-07-24,0,71,0%,24.5
2026-07-25,0,155,0%,24.8
2026-07-26,0,228,0%,24
2026-07-27,0,205,0%,31.5
2026-07-28,0,182,0%,37.6
2026-07-29,0,221,0%,30
2026-07-30,0,216,0%,41.1
2026-07-31,0,209,0%,39.6
2026-08-01,0,173,0%,44.1
2026-08-02,2,273,0.73%,29
2026-08-03,1,337,0.3%,30.7
2026-08-04,2,287,0.7%,24
2026-08-05,3,395,0.76%,23.3
2026-08-06,4,275,1.45%,23.3
2026-08-07,4,360,1.11%,18.3
2026-08-08,3,345,0.87%,13.4
2026-08-09,7,325,2.15%,13.9
2026-08-10,10,492,2.03%,10.8
2026-08-11,5,414,1.21%,11.4
2026-08-12,2,303,0.66%,16
2026-08-13,3,334,0.9%,17.1
2026-08-14,3,324,0.93%,14
2026-08-15,1,284,0.35%,19.5
2026-08-16,5,249,2.01%,16.9
2026-08-17,6,289,2.08%,12.8
2026-08-18,2,213,0.94%,11.2
2026-08-19,0,16,0%,22.7
2026-08-20,0,7,0%,2.6
2026-08-21,0,8,0%,27.9
2026-08-22,0,5,0%,52.2
