Country,Clicks,Impressions,CTR,Position
India,12,324,3.7%,20.9
United States,8,3518,0.23%,22.59
Germany,4,186,2.15%,22.85
Taiwan,4,60,6.67%,8.05
South Korea,3,111,2.7%,7.01
Australia,3,77,3.9%,16.7
United Arab Emirates,3,68,4.41%,7.09
Kazakhstan,3,17,17.65%,19
Russia,2,92,2.17%,31.1
Thailand,2,91,2.2%,32.82
Hong Kong,2,68,2.94%,8.5
Poland,2,43,4.65%,32.16
Portugal,2,15,13.33%,11.13
United Kingdom,1,302,0.33%,16.93
Japan,1,169,0.59%,7.84
Indonesia,1,117,0.85%,28.16
France,1,115,0.87%,25.5
Turkey,1,96,1.04%,31.24
Singapore,1,89,1.12%,8.22
Mexico,1,67,1.49%,24.28
Spain,1,59,1.69%,26.54
Israel,1,42,2.38%,30.45
Italy,1,35,2.86%,11.49
Romania,1,31,3.23%,7.77
Switzerland,1,27,3.7%,10.22
Iran,1,8,12.5%,7.12
Netherlands,0,147,0%,9.38
Vietnam,0,117,0%,35.08
Philippines,0,110,0%,39.47
China,0,107,0%,8.55
Canada,0,103,0%,26.13
Brazil,0,74,0%,9.91
Malaysia,0,74,0%,40.92
Ukraine,0,69,0%,31.9
Saudi Arabia,0,44,0%,24.3
Pakistan,0,38,0%,22.47
Bangladesh,0,38,0%,34.03
Sweden,0,35,0%,6.4
Morocco,0,34,0%,32.24
Algeria,0,29,0%,35.9
Lithuania,0,29,0%,52.66
Austria,0,23,0%,10
Argentina,0,22,0%,7.36
Finland,0,20,0%,14.7
Jordan,0,20,0%,40.1
Belgium,0,16,0%,11.38
Norway,0,13,0%,8.38
Iraq,0,13,0%,29.62
Colombia,0,11,0%,7.18
New Zealand,0,10,0%,5.4
Chile,0,10,0%,5.8
Czechia,0,10,0%,11.2
Egypt,0,9,0%,8.11
Peru,0,8,0%,6.75
Ireland,0,8,0%,7.75
South Africa,0,6,0%,5
Denmark,0,6,0%,6.17
Bolivia,0,6,0%,12.17
Estonia,0,6,0%,18.67
Hungary,0,5,0%,8.4
Ethiopia,0,5,0%,9
Serbia,0,5,0%,9.2
Afghanistan,0,4,0%,5.25
Ecuador,0,4,0%,6.5
Venezuela,0,4,0%,7.25
Albania,0,4,0%,7.75
Nigeria,0,4,0%,8.25
Croatia,0,3,0%,4.67
Iceland,0,3,0%,4.67
Belarus,0,3,0%,7
Armenia,0,3,0%,8
Slovakia,0,3,0%,8.33
Greece,0,3,0%,8.67
Sri Lanka,0,3,0%,8.67
Tunisia,0,3,0%,8.67
Georgia,0,3,0%,9.33
Uruguay,0,3,0%,13.33
Nepal,0,3,0%,52.33
Malta,0,3,0%,65.67
Unknown Region,0,2,0%,4
Bulgaria,0,2,0%,5
Panama,0,2,0%,5.5
Dominican Republic,0,2,0%,6
French Polynesia,0,2,0%,6
Kenya,0,2,0%,6.5
Costa Rica,0,2,0%,8
Palestine,0,2,0%,8
Cameroon,0,2,0%,9
Benin,0,1,0%,1
Somalia,0,1,0%,1
Vanuatu,0,1,0%,1
Kyrgyzstan,0,1,0%,4
Mongolia,0,1,0%,4
Seychelles,0,1,0%,4
Paraguay,0,1,0%,5
Bahamas,0,1,0%,6
Cyprus,0,1,0%,6
Kosovo,0,1,0%,6
Yemen,0,1,0%,6
Belize,0,1,0%,7
Martinique,0,1,0%,8
Senegal,0,1,0%,9
El Salvador,0,1,0%,9
Slovenia,0,1,0%,9
Uganda,0,1,0%,9
Zimbabwe,0,1,0%,9
Bahrain,0,1,0%,10
Côte d’Ivoire,0,1,0%,10
Ghana,0,1,0%,10
Puerto Rico,0,1,0%,10
Burkina Faso,0,1,0%,14
